¥éËweb-scraper-order,web-scraper-start-url,notelink,notelink-href,familyname,notename
1574392984-1109,https://www.fragrantica.com/notes/,Rosebay Willowherb,https://www.fragrantica.com/notes/Rosebay-Willowherb-642.html,FLOWERS,Rosebay Willowherb
1574390459-491,https://www.fragrantica.com/notes/,Wet plaster,https://www.fragrantica.com/notes/Wet-plaster-607.html,SYNTHETIC,Wet plaster
1574391494-731,https://www.fragrantica.com/notes/,Pua keni keni (Pua-lulu),https://www.fragrantica.com/notes/Pua-keni-keni-Pua-lulu-905.html,WOODS AND MOSSES,Pua keni keni (Pua-lulu)
1574390675-555,https://www.fragrantica.com/notes/,Flint,https://www.fragrantica.com/notes/Flint-712.html,SYNTHETIC,Flint
1574392874-1079,https://www.fragrantica.com/notes/,Zinnia,https://www.fragrantica.com/notes/Zinnia-891.html,FLOWERS,Zinnia
1574390471-494,https://www.fragrantica.com/notes/,Velvet,https://www.fragrantica.com/notes/Velvet-779.html,SYNTHETIC,Velvet
1574391032-662,https://www.fragrantica.com/notes/,Beeswax,https://www.fragrantica.com/notes/Beeswax-53.html,"MUSK, AMBER, ANIMALIC SMELLS",Beeswax
1574392314-939,https://www.fragrantica.com/notes/,Tarragon,https://www.fragrantica.com/notes/Tarragon-93.html,"GREENS, HERBS AND FOUGERES",Tarragon
1574392980-1108,https://www.fragrantica.com/notes/,Safflower,https://www.fragrantica.com/notes/Safflower-113.html,FLOWERS,Safflower
1574391585-751,https://www.fragrantica.com/notes/,Manuka,https://www.fragrantica.com/notes/Manuka-470.html,WOODS AND MOSSES,Manuka
1574393735-1310,https://www.fragrantica.com/notes/,Sapodilla,https://www.fragrantica.com/notes/Sapodilla-645.html,"FRUITS, VEGETABLES AND NUTS",Sapodilla
1574393672-1291,https://www.fragrantica.com/notes/,Wolfberry,https://www.fragrantica.com/notes/Wolfberry-520.html,"FRUITS, VEGETABLES AND NUTS",Wolfberry
1574392364-948,https://www.fragrantica.com/notes/,Shiso,https://www.fragrantica.com/notes/Shiso-492.html,"GREENS, HERBS AND FOUGERES",Shiso
1574391121-688,https://www.fragrantica.com/notes/,Myrica,https://www.fragrantica.com/notes/Myrica-899.html,RESINS AND BALSAMS,Myrica
1574392170-907,https://www.fragrantica.com/notes/,Curcuma (Turmeric),https://www.fragrantica.com/notes/Curcuma-Turmeric-308.html,SPICES,Curcuma (Turmeric)
1574392547-992,https://www.fragrantica.com/notes/,Katsura leaf,https://www.fragrantica.com/notes/Katsura-leaf-698.html,"GREENS, HERBS AND FOUGERES",Katsura leaf
1574390704-564,https://www.fragrantica.com/notes/,Dodecanal,https://www.fragrantica.com/notes/Dodecanal-902.html,SYNTHETIC,Dodecanal
1574394122-1419,https://www.fragrantica.com/notes/,Lime,https://www.fragrantica.com/notes/Lime-78.html,CITRUS SMELLS,Lime
1574392111-890,https://www.fragrantica.com/notes/,Peppertree,https://www.fragrantica.com/notes/Peppertree-753.html,SPICES,Peppertree
1574390923-631,https://www.fragrantica.com/notes/,Bourbon Whiskey,https://www.fragrantica.com/notes/Bourbon-Whiskey-939.html,BEVERAGES,Bourbon Whiskey
1574390658-549,https://www.fragrantica.com/notes/,Head Space Waterfall,https://www.fragrantica.com/notes/Head-Space-Waterfall-755.html,SYNTHETIC,Head Space Waterfall
1574392926-1091,https://www.fragrantica.com/notes/,Tulip,https://www.fragrantica.com/notes/Tulip-222.html,FLOWERS,Tulip
1574393570-1261,https://www.fragrantica.com/notes/,Cannonball Flower,https://www.fragrantica.com/notes/Cannonball-Flower-826.html,FLOWERS,Cannonball Flower
1574392331-943,https://www.fragrantica.com/notes/,Strawberry Leaf,https://www.fragrantica.com/notes/Strawberry-Leaf-262.html,"GREENS, HERBS AND FOUGERES",Strawberry Leaf
1574393540-1253,https://www.fragrantica.com/notes/,China Rose,https://www.fragrantica.com/notes/China-Rose-797.html,FLOWERS,China Rose
1574393668-1290,https://www.fragrantica.com/notes/,Yellow Cherry,https://www.fragrantica.com/notes/Yellow-Cherry-292.html,"FRUITS, VEGETABLES AND NUTS",Yellow Cherry
1574392581-1002,https://www.fragrantica.com/notes/,Hay,https://www.fragrantica.com/notes/Hay-395.html,"GREENS, HERBS AND FOUGERES",Hay
1574393367-1215,https://www.fragrantica.com/notes/,Gerbera,https://www.fragrantica.com/notes/Gerbera-450.html,FLOWERS,Gerbera
1574391420-726,https://www.fragrantica.com/notes/,Sandalwood,https://www.fragrantica.com/notes/Sandalwood-33.html,WOODS AND MOSSES,Sandalwood
1574391970-852,https://www.fragrantica.com/notes/,Cream,https://www.fragrantica.com/notes/Cream-454.html,SWEETS AND GOURMAND SMELLS,Cream
1574391889-828,https://www.fragrantica.com/notes/,Marron glací©,https://www.fragrantica.com/notes/Marron-glace-391.html,SWEETS AND GOURMAND SMELLS,Marron glací©
1574391148-695,https://www.fragrantica.com/notes/,Dragon Blood Resin,https://www.fragrantica.com/notes/Dragon-Blood-Resin-850.html,RESINS AND BALSAMS,Dragon Blood Resin
1574390690-560,https://www.fragrantica.com/notes/,Ethyl Maltol,https://www.fragrantica.com/notes/Ethyl-Maltol-836.html,SYNTHETIC,Ethyl Maltol
1574390807-596,https://www.fragrantica.com/notes/,Syrup,https://www.fragrantica.com/notes/Syrup-997.html,BEVERAGES,Syrup
1574390569-522,https://www.fragrantica.com/notes/,Neoprene,https://www.fragrantica.com/notes/Neoprene-670.html,SYNTHETIC,Neoprene
1574392065-878,https://www.fragrantica.com/notes/,Sumac,https://www.fragrantica.com/notes/Sumac-631.html,SPICES,Sumac
1574393211-1173,https://www.fragrantica.com/notes/,Liatris,https://www.fragrantica.com/notes/Liatris-490.html,FLOWERS,Liatris
1574393725-1307,https://www.fragrantica.com/notes/,Sour Cherry,https://www.fragrantica.com/notes/Sour-Cherry-176.html,"FRUITS, VEGETABLES AND NUTS",Sour Cherry
1574392216-918,https://www.fragrantica.com/notes/,Cardamom,https://www.fragrantica.com/notes/Cardamom-63.html,SPICES,Cardamom
1574392941-1095,https://www.fragrantica.com/notes/,Taif Rose,https://www.fragrantica.com/notes/Taif-Rose-115.html,FLOWERS,Taif Rose
1574390731-572,https://www.fragrantica.com/notes/,CO2 Extracts,https://www.fragrantica.com/notes/CO2-Extracts-783.html,SYNTHETIC,CO2 Extracts
1574393321-1202,https://www.fragrantica.com/notes/,Hibiscus,https://www.fragrantica.com/notes/Hibiscus-187.html,FLOWERS,Hibiscus
1574391044-666,https://www.fragrantica.com/notes/,Animal notes,https://www.fragrantica.com/notes/Animal-notes-794.html,"MUSK, AMBER, ANIMALIC SMELLS",Animal notes
1574390939-636,https://www.fragrantica.com/notes/,Amaretto,https://www.fragrantica.com/notes/Amaretto-267.html,BEVERAGES,Amaretto
1574390795-592,https://www.fragrantica.com/notes/,Vermouth,https://www.fragrantica.com/notes/Vermouth-628.html,BEVERAGES,Vermouth
1574394117-1418,https://www.fragrantica.com/notes/,Limetta,https://www.fragrantica.com/notes/Limetta-901.html,CITRUS SMELLS,Limetta
1574392825-1069,https://www.fragrantica.com/notes/,Jasmine,https://www.fragrantica.com/notes/Jasmine-14.html,WHITE FLOWERS,Jasmine
1574392265-929,https://www.fragrantica.com/notes/,Violet Leaf,https://www.fragrantica.com/notes/Violet-Leaf-127.html,"GREENS, HERBS AND FOUGERES",Violet Leaf
1574391759-794,https://www.fragrantica.com/notes/,Bamboo,https://www.fragrantica.com/notes/Bamboo-42.html,WOODS AND MOSSES,Bamboo
1574393189-1168,https://www.fragrantica.com/notes/,Lupin,https://www.fragrantica.com/notes/Lupin-614.html,FLOWERS,Lupin
1574391657-772,https://www.fragrantica.com/notes/,Cottonwood (Poplar),https://www.fragrantica.com/notes/Cottonwood-Poplar-718.html,WOODS AND MOSSES,Cottonwood (Poplar)
1574393472-1237,https://www.fragrantica.com/notes/,Dandelion,https://www.fragrantica.com/notes/Dandelion-505.html,FLOWERS,Dandelion
1574392688-1032,https://www.fragrantica.com/notes/,Bulrush,https://www.fragrantica.com/notes/Bulrush-307.html,"GREENS, HERBS AND FOUGERES",Bulrush
1574392763-1053,https://www.fragrantica.com/notes/,Agave,https://www.fragrantica.com/notes/Agave-608.html,"GREENS, HERBS AND FOUGERES",Agave
1574390634-542,https://www.fragrantica.com/notes/,Ink,https://www.fragrantica.com/notes/Ink-539.html,SYNTHETIC,Ink
1574390828-603,https://www.fragrantica.com/notes/,Port Wine,https://www.fragrantica.com/notes/Port-Wine-950.html,BEVERAGES,Port Wine
1574393428-1231,https://www.fragrantica.com/notes/,Dried Rose,https://www.fragrantica.com/notes/Dried-Rose-971.html,FLOWERS,Dried Rose
1574392664-1025,https://www.fragrantica.com/notes/,Celery,https://www.fragrantica.com/notes/Celery-392.html,"GREENS, HERBS AND FOUGERES",Celery
1574390763-582,https://www.fragrantica.com/notes/,Boisiris,https://www.fragrantica.com/notes/Boisiris-920.html,SYNTHETIC,Boisiris
1574393248-1184,https://www.fragrantica.com/notes/,Kudzu,https://www.fragrantica.com/notes/Kudzu-472.html,FLOWERS,Kudzu
1574391999-860,https://www.fragrantica.com/notes/,Candied Ginger,https://www.fragrantica.com/notes/Candied-Ginger-946.html,SWEETS AND GOURMAND SMELLS,Candied Ginger
1574393523-1248,https://www.fragrantica.com/notes/,Clematis,https://www.fragrantica.com/notes/Clematis-877.html,FLOWERS,Clematis
1574393923-1366,https://www.fragrantica.com/notes/,Forest fruits,https://www.fragrantica.com/notes/Forest-fruits-382.html,"FRUITS, VEGETABLES AND NUTS",Forest fruits
1574390905-625,https://www.fragrantica.com/notes/,Coca-Cola,https://www.fragrantica.com/notes/Coca-Cola-362.html,BEVERAGES,Coca-Cola
1574393899-1359,https://www.fragrantica.com/notes/,Greengage,https://www.fragrantica.com/notes/Greengage-996.html,"FRUITS, VEGETABLES AND NUTS",Greengage
1574390834-605,https://www.fragrantica.com/notes/,Mojito,https://www.fragrantica.com/notes/Mojito-300.html,BEVERAGES,Mojito
1574392708-1038,https://www.fragrantica.com/notes/,Black currant leaf,https://www.fragrantica.com/notes/Black-currant-leaf-570.html,"GREENS, HERBS AND FOUGERES",Black currant leaf
1574391988-857,https://www.fragrantica.com/notes/,Canelí©,https://www.fragrantica.com/notes/Canele-754.html,SWEETS AND GOURMAND SMELLS,Canelí©
1574391339-720,https://www.fragrantica.com/notes/,Takamaka,https://www.fragrantica.com/notes/Takamaka-1006.html,WOODS AND MOSSES,Takamaka
1574393605-1273,https://www.fragrantica.com/notes/,Bellflower,https://www.fragrantica.com/notes/Bellflower-293.html,FLOWERS,Bellflower
1574392405-957,https://www.fragrantica.com/notes/,Rose Thorn,https://www.fragrantica.com/notes/Rose-Thorn-873.html,"GREENS, HERBS AND FOUGERES",Rose Thorn
1574391040-665,https://www.fragrantica.com/notes/,Aspic,https://www.fragrantica.com/notes/Aspic-763.html,"MUSK, AMBER, ANIMALIC SMELLS",Aspic
1574393883-1354,https://www.fragrantica.com/notes/,Jabuticaba,https://www.fragrantica.com/notes/Jabuticaba-615.html,"FRUITS, VEGETABLES AND NUTS",Jabuticaba
1574393897-1358,https://www.fragrantica.com/notes/,Ground Cherry,https://www.fragrantica.com/notes/Ground-Cherry-682.html,"FRUITS, VEGETABLES AND NUTS",Ground Cherry
1574390590-528,https://www.fragrantica.com/notes/,Mineral notes,https://www.fragrantica.com/notes/Mineral-notes-820.html,SYNTHETIC,Mineral notes
1574391111-685,https://www.fragrantica.com/notes/,Olibanum (Frankincense),https://www.fragrantica.com/notes/Olibanum-Frankincense-95.html,RESINS AND BALSAMS,Olibanum (Frankincense)
1574393831-1338,https://www.fragrantica.com/notes/,Mushroom,https://www.fragrantica.com/notes/Mushroom-839.html,"FRUITS, VEGETABLES AND NUTS",Mushroom
1574393316-1201,https://www.fragrantica.com/notes/,Hoary Stock,https://www.fragrantica.com/notes/Hoary-Stock-701.html,FLOWERS,Hoary Stock
1574393692-1297,https://www.fragrantica.com/notes/,Walnut,https://www.fragrantica.com/notes/Walnut-336.html,"FRUITS, VEGETABLES AND NUTS",Walnut
1574392155-903,https://www.fragrantica.com/notes/,Fenugreek,https://www.fragrantica.com/notes/Fenugreek-475.html,SPICES,Fenugreek
1574392894-1084,https://www.fragrantica.com/notes/,Wildflowers,https://www.fragrantica.com/notes/Wildflowers-379.html,FLOWERS,Wildflowers
1574391973-853,https://www.fragrantica.com/notes/,Cotton Candy,https://www.fragrantica.com/notes/Cotton-Candy-237.html,SWEETS AND GOURMAND SMELLS,Cotton Candy
1574391734-787,https://www.fragrantica.com/notes/,Black Spruce,https://www.fragrantica.com/notes/Black-Spruce-478.html,WOODS AND MOSSES,Black Spruce
1574391721-785,https://www.fragrantica.com/notes/,Brazilian Rosewood,https://www.fragrantica.com/notes/Brazilian-Rosewood-110.html,WOODS AND MOSSES,Brazilian Rosewood
1574391055-669,https://www.fragrantica.com/notes/,Ambrettolide,https://www.fragrantica.com/notes/Ambrettolide-919.html,"MUSK, AMBER, ANIMALIC SMELLS",Ambrettolide
1574393955-1375,https://www.fragrantica.com/notes/,"Cupuacu, Cupuassu, Copoasu",https://www.fragrantica.com/notes/Cupuacu-Cupuassu-Copoasu-465.html,"FRUITS, VEGETABLES AND NUTS","Cupuacu, Cupuassu, Copoasu"
1574393395-1223,https://www.fragrantica.com/notes/,Flamingo flower (Anthurium),https://www.fragrantica.com/notes/Flamingo-flower-Anthurium-917.html,FLOWERS,Flamingo flower (Anthurium)
1574393293-1194,https://www.fragrantica.com/notes/,Hyacinth,https://www.fragrantica.com/notes/Hyacinth-22.html,FLOWERS,Hyacinth
1574390824-602,https://www.fragrantica.com/notes/,Punch,https://www.fragrantica.com/notes/Punch-581.html,BEVERAGES,Punch
1574393057-1132,https://www.fragrantica.com/notes/,Peony,https://www.fragrantica.com/notes/Peony-155.html,FLOWERS,Peony
1574390490-500,https://www.fragrantica.com/notes/,Solar notes,https://www.fragrantica.com/notes/Solar-notes-672.html,SYNTHETIC,Solar notes
1574391151-696,https://www.fragrantica.com/notes/,Copal,https://www.fragrantica.com/notes/Copal-542.html,RESINS AND BALSAMS,Copal
1574394065-1405,https://www.fragrantica.com/notes/,Almond,https://www.fragrantica.com/notes/Almond-130.html,"FRUITS, VEGETABLES AND NUTS",Almond
1574390870-613,https://www.fragrantica.com/notes/,Kir Royal,https://www.fragrantica.com/notes/Kir-Royal-576.html,BEVERAGES,Kir Royal
1574392627-1014,https://www.fragrantica.com/notes/,Fern,https://www.fragrantica.com/notes/Fern-258.html,"GREENS, HERBS AND FOUGERES",Fern
1574392555-994,https://www.fragrantica.com/notes/,Juniper Berries,https://www.fragrantica.com/notes/Juniper-Berries-143.html,"GREENS, HERBS AND FOUGERES",Juniper Berries
1574393221-1175,https://www.fragrantica.com/notes/,Lavender,https://www.fragrantica.com/notes/Lavender-1.html,FLOWERS,Lavender
1574393364-1214,https://www.fragrantica.com/notes/,Gladiolus,https://www.fragrantica.com/notes/Gladiolus-364.html,FLOWERS,Gladiolus
1574394081-1409,https://www.fragrantica.com/notes/,Tangerine,https://www.fragrantica.com/notes/Tangerine-85.html,CITRUS SMELLS,Tangerine
1574390748-577,https://www.fragrantica.com/notes/,Camphor,https://www.fragrantica.com/notes/Camphor-404.html,SYNTHETIC,Camphor
1574392493-979,https://www.fragrantica.com/notes/,Mint,https://www.fragrantica.com/notes/Mint-160.html,"GREENS, HERBS AND FOUGERES",Mint
1574392226-920,https://www.fragrantica.com/notes/,Cacao Pod,https://www.fragrantica.com/notes/Cacao-Pod-135.html,SPICES,Cacao Pod
1574393386-1220,https://www.fragrantica.com/notes/,Forget me not,https://www.fragrantica.com/notes/Forget-me-not-421.html,FLOWERS,Forget me not
1574392977-1107,https://www.fragrantica.com/notes/,Sainfoins,https://www.fragrantica.com/notes/Sainfoins-630.html,FLOWERS,Sainfoins
1574390513-506,https://www.fragrantica.com/notes/,Sea Water,https://www.fragrantica.com/notes/Sea-Water-324.html,SYNTHETIC,Sea Water
1574392838-1072,https://www.fragrantica.com/notes/,Gardenia,https://www.fragrantica.com/notes/Gardenia-19.html,WHITE FLOWERS,Gardenia
1574393903-1360,https://www.fragrantica.com/notes/,Grapes,https://www.fragrantica.com/notes/Grapes-269.html,"FRUITS, VEGETABLES AND NUTS",Grapes
1574393116-1147,https://www.fragrantica.com/notes/,Night Blooming Jasmine,https://www.fragrantica.com/notes/Night-Blooming-Jasmine-738.html,FLOWERS,Night Blooming Jasmine
1574393511-1244,https://www.fragrantica.com/notes/,Tiare,https://www.fragrantica.com/notes/Cosmos-Flower-912.html,FLOWERS,Tiare
1574392152-902,https://www.fragrantica.com/notes/,Galanga,https://www.fragrantica.com/notes/Galanga-88.html,SPICES,Galanga
1574391873-823,https://www.fragrantica.com/notes/,Molasses,https://www.fragrantica.com/notes/Molasses-768.html,SWEETS AND GOURMAND SMELLS,Molasses
1574392010-863,https://www.fragrantica.com/notes/,Butter,https://www.fragrantica.com/notes/Butter-580.html,SWEETS AND GOURMAND SMELLS,Butter
1574392542-990,https://www.fragrantica.com/notes/,Laminaria,https://www.fragrantica.com/notes/Laminaria-824.html,"GREENS, HERBS AND FOUGERES",Laminaria
1574394014-1389,https://www.fragrantica.com/notes/,Carambola (Star Fruit),https://www.fragrantica.com/notes/Carambola-Star-Fruit-212.html,"FRUITS, VEGETABLES AND NUTS",Carambola (Star Fruit)
1574390555-518,https://www.fragrantica.com/notes/,Paradisone,https://www.fragrantica.com/notes/Paradisone-992.html,SYNTHETIC,Paradisone
1574390625-539,https://www.fragrantica.com/notes/,Isobutyl Quinoline,https://www.fragrantica.com/notes/Isobutyl-Quinoline-925.html,SYNTHETIC,Isobutyl Quinoline
1574391868-822,https://www.fragrantica.com/notes/,Nougat,https://www.fragrantica.com/notes/Nougat-437.html,SWEETS AND GOURMAND SMELLS,Nougat
1574391133-691,https://www.fragrantica.com/notes/,Labdanum,https://www.fragrantica.com/notes/Labdanum-15.html,RESINS AND BALSAMS,Labdanum
1574392299-936,https://www.fragrantica.com/notes/,Thyme,https://www.fragrantica.com/notes/Thyme-97.html,"GREENS, HERBS AND FOUGERES",Thyme
1574390493-501,https://www.fragrantica.com/notes/,Sodium Silicate,https://www.fragrantica.com/notes/Sodium-Silicate-802.html,SYNTHETIC,Sodium Silicate
1574390864-611,https://www.fragrantica.com/notes/,Limoncello,https://www.fragrantica.com/notes/Limoncello-440.html,BEVERAGES,Limoncello
1574391774-799,https://www.fragrantica.com/notes/,Apple Tree,https://www.fragrantica.com/notes/Apple-Tree-284.html,WOODS AND MOSSES,Apple Tree
1574391265-714,https://www.fragrantica.com/notes/,White Oud,https://www.fragrantica.com/notes/White-Oud-777.html,WOODS AND MOSSES,White Oud
1574392458-970,https://www.fragrantica.com/notes/,Palm leaf,https://www.fragrantica.com/notes/Palm-leaf-389.html,"GREENS, HERBS AND FOUGERES",Palm leaf
1574391524-738,https://www.fragrantica.com/notes/,Paperbark,https://www.fragrantica.com/notes/Paperbark-359.html,WOODS AND MOSSES,Paperbark
1574391862-820,https://www.fragrantica.com/notes/,Pear Ice Cream,https://www.fragrantica.com/notes/Pear-Ice-Cream-806.html,SWEETS AND GOURMAND SMELLS,Pear Ice Cream
1574391742-789,https://www.fragrantica.com/notes/,Birch,https://www.fragrantica.com/notes/Birch-31.html,WOODS AND MOSSES,Birch
1574393506-1243,https://www.fragrantica.com/notes/,Peach Flower,https://www.fragrantica.com/notes/Costus-439.html,FLOWERS,Peach Flower
1574393719-1305,https://www.fragrantica.com/notes/,Soybean,https://www.fragrantica.com/notes/Soybean-224.html,"FRUITS, VEGETABLES AND NUTS",Soybean
1574393146-1156,https://www.fragrantica.com/notes/,Mirabilis,https://www.fragrantica.com/notes/Mirabilis-356.html,FLOWERS,Mirabilis
1574392613-1010,https://www.fragrantica.com/notes/,Ginseng,https://www.fragrantica.com/notes/Ginseng-374.html,"GREENS, HERBS AND FOUGERES",Ginseng
1574393136-1153,https://www.fragrantica.com/notes/,Morning Glory Flower,https://www.fragrantica.com/notes/Morning-Glory-Flower-967.html,FLOWERS,Morning Glory Flower
1574391065-672,https://www.fragrantica.com/notes/,Ambrarome,https://www.fragrantica.com/notes/Ambrarome-562.html,"MUSK, AMBER, ANIMALIC SMELLS",Ambrarome
1574391082-677,https://www.fragrantica.com/notes/,Tea Tree Oil,https://www.fragrantica.com/notes/Tea-Tree-Oil-861.html,RESINS AND BALSAMS,Tea Tree Oil
1574393834-1339,https://www.fragrantica.com/notes/,Mulberry,https://www.fragrantica.com/notes/Mulberry-531.html,"FRUITS, VEGETABLES AND NUTS",Mulberry
1574392720-1041,https://www.fragrantica.com/notes/,Barley,https://www.fragrantica.com/notes/Barley-569.html,"GREENS, HERBS AND FOUGERES",Barley
1574393225-1176,https://www.fragrantica.com/notes/,Laurel Blossom,https://www.fragrantica.com/notes/Laurel-Blossom-1019.html,FLOWERS,Laurel Blossom
1574392811-1066,https://www.fragrantica.com/notes/,Lily,https://www.fragrantica.com/notes/Lily-157.html,WHITE FLOWERS,Lily
1574392046-873,https://www.fragrantica.com/notes/,Wasabi,https://www.fragrantica.com/notes/Wasabi-662.html,SPICES,Wasabi
1574393082-1139,https://www.fragrantica.com/notes/,Papaya blossom,https://www.fragrantica.com/notes/Papaya-blossom-448.html,FLOWERS,Papaya blossom
1574391462-729,https://www.fragrantica.com/notes/,Ravensara,https://www.fragrantica.com/notes/Ravensara-595.html,WOODS AND MOSSES,Ravensara
1574390721-569,https://www.fragrantica.com/notes/,Concrete,https://www.fragrantica.com/notes/Concrete-936.html,SYNTHETIC,Concrete
1574394041-1398,https://www.fragrantica.com/notes/,Bearberry,https://www.fragrantica.com/notes/Bearberry-344.html,"FRUITS, VEGETABLES AND NUTS",Bearberry
1574393991-1382,https://www.fragrantica.com/notes/,Cherry,https://www.fragrantica.com/notes/Cherry-297.html,"FRUITS, VEGETABLES AND NUTS",Cherry
1574391017-658,https://www.fragrantica.com/notes/,Cetalox,https://www.fragrantica.com/notes/Cetalox-564.html,"MUSK, AMBER, ANIMALIC SMELLS",Cetalox
1574391745-790,https://www.fragrantica.com/notes/,Belambra tree,https://www.fragrantica.com/notes/Belambra-tree-641.html,WOODS AND MOSSES,Belambra tree
1574393230-1178,https://www.fragrantica.com/notes/,Lantana,https://www.fragrantica.com/notes/Lantana-600.html,FLOWERS,Lantana
1574393203-1171,https://www.fragrantica.com/notes/,Lily-of-the-Valley,https://www.fragrantica.com/notes/Lily-of-the-Valley-109.html,FLOWERS,Lily-of-the-Valley
1574391754-793,https://www.fragrantica.com/notes/,Baobab,https://www.fragrantica.com/notes/Baobab-703.html,WOODS AND MOSSES,Baobab
1574391288-716,https://www.fragrantica.com/notes/,Turnera diffusa (Damiana),https://www.fragrantica.com/notes/Turnera-diffusa-Damiana-770.html,WOODS AND MOSSES,Turnera diffusa (Damiana)
1574390687-559,https://www.fragrantica.com/notes/,Eugenol,https://www.fragrantica.com/notes/Eugenol-894.html,SYNTHETIC,Eugenol
1574393760-1317,https://www.fragrantica.com/notes/,Quince,https://www.fragrantica.com/notes/Quince-223.html,"FRUITS, VEGETABLES AND NUTS",Quince
1574393358-1212,https://www.fragrantica.com/notes/,Gorse,https://www.fragrantica.com/notes/Gorse-566.html,FLOWERS,Gorse
1574394001-1385,https://www.fragrantica.com/notes/,Cepes,https://www.fragrantica.com/notes/Cepes-376.html,"FRUITS, VEGETABLES AND NUTS",Cepes
1574392445-967,https://www.fragrantica.com/notes/,Parsley,https://www.fragrantica.com/notes/Parsley-796.html,"GREENS, HERBS AND FOUGERES",Parsley
1574393329-1204,https://www.fragrantica.com/notes/,Hellabore Flower,https://www.fragrantica.com/notes/Hellabore-Flower-357.html,FLOWERS,Hellabore Flower
1574393393-1222,https://www.fragrantica.com/notes/,Flax,https://www.fragrantica.com/notes/Flax-291.html,FLOWERS,Flax
1574391096-681,https://www.fragrantica.com/notes/,Resins,https://www.fragrantica.com/notes/Resins-317.html,RESINS AND BALSAMS,Resins
1574392692-1033,https://www.fragrantica.com/notes/,Buchu or Agathosma,https://www.fragrantica.com/notes/Buchu-or-Agathosma-583.html,"GREENS, HERBS AND FOUGERES",Buchu
1574392096-886,https://www.fragrantica.com/notes/,Pink Pepper,https://www.fragrantica.com/notes/Pink-Pepper-91.html,SPICES,Pink Pepper
1574392545-991,https://www.fragrantica.com/notes/,Khella,https://www.fragrantica.com/notes/Khella-683.html,"GREENS, HERBS AND FOUGERES",Khella
