group,group_y,Pattern,Pattern_ID,Primary_Color,Secondary_Color,Category,Sub_Category,Description,Year_Entered,Era,Gifted,Vintage,Online_Purchase,Traveling_Purchase,Quarantine_Purchase,Era_Date_Start,Era_End_Date,Notes
Knit Tops,25,N,,#FFFFFF,,Tops,tank,Ribbed halter,2020,"Roslindale, MA",N,N,Y,N,Y,"June, 2019","June, 2020",Cheap summer top
Knit Tops,26,Y,53,#000000,#FFFFFF,Tops,tee,Signature graphic,2020,"Roslindale, MA",N,Y,Y,N,Y,"June, 2019","June, 2020",First quarantine purchase; all I wanted to wear were long-sleeved tees
Pants,1,Y,2,#8c0e1d,#425650,Bottoms,pants,Plaid corduroy,2011,Los Angeles,N,N,N,Y,N,"June, 2011","June, 2014",Used a secret santa gift card to get these on serious discount
Pants,2,Y,3,#2e3849,#FFFFFF,Bottoms,pants,Wool pinstripe,2016,"The Orme School, Mayer, AZ",Y,N,Y,N,N,"September, 2016","June, 2019",Work pants
Pants,3,N,,#4d5266,,Bottoms,pants,Silk tie-belt,2019,"Roslindale, MA",Y,N,N,N,N,"June, 2019","June, 2020",Bought for an interview
Rompers & Jumpsuits,1,Y,8,#b90010,#000000,Dresses & Jumpsuits,romper,Plaid front-zip,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014","This is a ridiculous romper that Steven convinced me to get, but I still wear it to parties"
Rompers & Jumpsuits,2,N,,#FFFFFF,,Dresses & Jumpsuits,romper,Crocheted,2015,"Hangzhou, China",Y,N,N,Y,N,"September, 2014","July, 2016",Wore this for my wedding after-party at the beach
Rompers & Jumpsuits,3,N,,#70797f,,Dresses & Jumpsuits,jumpsuit,Embroidered denim,2016,"Hangzhou, China",N,N,N,Y,N,"September, 2014","July, 2016","The Kapital flagship store is part art gallery, part immersive surrealist shopping experience: a maze of levels with Wes Anderson-esque intrumentals piped through the sound system"
Rompers & Jumpsuits,4,Y,12,#FFFFFF,#889bba,Dresses & Jumpsuits,overalls,Striped,2016,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",Kyoto has surprisingly good vintage shopping
Rompers & Jumpsuits,5,N,,#54638c,,Dresses & Jumpsuits,overalls,Short,2016,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016","First purchase in Tokyo, right after I dyed my hair pink"
Rompers & Jumpsuits,6,N,,#a57e56,,Dresses & Jumpsuits,jumpsuit,sweater,2017,"The Orme School, Mayer, AZ",Y,Y,N,N,N,"September, 2016","June, 2019",Steven found this in a thrift store in a tiny high-desert town in Arizona and it fits perfectly!
Rompers & Jumpsuits,7,N,,#f861b7,,Dresses & Jumpsuits,jumpsuit,Sleeveless,2018,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Got this when I was pregnant and just starting to show
Rompers & Jumpsuits,8,N,,#1e737c,,Dresses & Jumpsuits,jumpsuit,Front-zip corduroy,2019,"Roslindale, MA",Y,N,Y,N,N,"June, 2019","June, 2020",Always looking for an excuse to wear this
Sets,1,N,,#000000,,Sets,suit,Short & Vest,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",This allegedly once belonged to a tiny French model in the 70s
Sets,2,Y,20,#2b3258,#faa521,Sets,set,Floral shirt & Skirt,2019,"Roslindale, MA",N,Y,N,N,N,"June, 2019","June, 2020",I always wear these pieces separately; they're better on their own
Shorts & Skirts,1,N,,#ff4138,,Bottoms,shorts,High-waisted sailor,2009,"Study Abroad, London",N,N,N,N,N,"August, 2009","June, 2010",I could spend all day in the Topshop in Oxford Circus
Shorts & Skirts,2,Y,1,#006e5f,#f0a605,Bottoms,shorts,Color-block knit,2010,"Senior Year, Middlebury College",Y,Y,N,Y,N,10-Sep,"May, 2011","These shorts are only really suitable for parties and music festivals, but they are so special that I can't give them up yet"
Shorts & Skirts,3,Y,5,#cc0d16,#000000,Bottoms,shorts,High-waisted sweater,2020,"Roslindale, MA",Y,N,Y,N,Y,"June, 2019","June, 2020",Gift from Steven for Mother's Day
Shorts & Skirts,4,N,,#000000,,Bottoms,shorts,Ribbed bike,2020,"Roslindale, MA",N,N,Y,N,Y,"June, 2019","June, 2020",In the summer I wear these almost every day
Shorts & Skirts,5,N,,#000000,,Bottoms,skirt,Pleated,2010,"Senior Year, Middlebury College",Y,Y,N,N,N,10-Sep,"May, 2011",My mom used to wear this on dates with my dad!
Shorts & Skirts,6,N,,#595739,,Bottoms,skirt,Zip-front mini,2013,Los Angeles,Y,N,N,N,N,"June, 2011","June, 2014","Still can't really fit into this, but it's lovely so I'm holding out hope"
Shorts & Skirts,7,N,,#000000,,Bottoms,skirt,Corduroy mini,2015,"Hangzhou, China",N,N,N,N,N,"September, 2014","July, 2016",Part of a NYE outfit
Shorts & Skirts,8,Y,4,#fd9878,#f7d360,Bottoms,skort,Hawaiian wrap,2017,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Kooky Kansas City find
Sweaters & Sweatshirts,1,Y,21,#938c82,#000000,Tops,sweater,Geometric Lurex,2008,"Freshman Year, Middlebury College",N,Y,N,Y,N,"September, 2006","May, 2008",NYC vintage stop en route to Europe
Sweaters & Sweatshirts,2,Y,22,#7690a3,#dfb5a1,Tops,sweater,Color-block,2009,"Study Abroad, London",Y,Y,N,N,N,"August, 2009","June, 2010",Another piece inherited from my mom; didn't realize it was Chanel until I found a tiny tag on the bottom hem
Sweaters & Sweatshirts,3,N,,#000000,,Tops,sweater,Drapey,2009,"Study Abroad, London",N,N,N,N,N,"August, 2009","June, 2010",Layers up well in the fall
Sweaters & Sweatshirts,4,N,,#e5dfd6,,Tops,sweater,Ribbed crop,2013,Los Angeles,Y,N,N,Y,N,"June, 2011","June, 2014","Even though there are a few little stains on this, it's too beautiful for me to give up on it"
Sweaters & Sweatshirts,5,Y,25,#97bfb8,#6d5561,Tops,sweater,Rainbow yarn,2013,Los Angeles,Y,N,N,Y,N,"June, 2011","June, 2014","Slightly awkward cut, but the fabric is like a hazy daydream"
Sweaters & Sweatshirts,6,Y,26,#FFFFFF,#24294f,Tops,sweater,"""L"" monogram",2013,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014",RIP Opening Ceremony
Sweaters & Sweatshirts,7,N,,#4f4e4b,,Tops,sweatshirt,Quilted,2015,"Hangzhou, China",Y,N,N,Y,N,"September, 2014","July, 2016","Looks kind of like a taberd, but cozier"
Sweaters & Sweatshirts,8,Y,45,#f7decd,#5d698c,Tops,sweater,Confetti-yarn,2019,"Roslindale, MA",Y,N,Y,N,N,"June, 2019","June, 2020",Replaced 3 or 4 moth-eaten sweaters with this one
Sweaters & Sweatshirts,9,Y,46,#ac4437,#4f657a,Tops,sweater,Color-block,2019,"The Orme School, Mayer, AZ",Y,N,Y,N,N,"June, 2019","June, 2020",There are buttons on the back!
Sweaters & Sweatshirts,10,Y,54,#000000,#FFFFFF,Tops,sweatshirt,Club sandwich graphic,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,WFH coziness
Sweaters & Sweatshirts,11,Y,55,#FFFFFF,#b4c0d1,Tops,sweatshirt,Tie-dyed half-zip,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,WFH coziness
Sweaters & Sweatshirts,12,Y,52,#65635a,#bcbab5,Tops,sweater,Textured yarn,2020,"Roslindale, MA",Y,N,N,N,N,"June, 2019","June, 2020",Bought for an interview
Sweaters & Sweatshirts,13,N,,#000000,,Tops,sweater,Ribbed turtleneck,2020,"Roslindale, MA",N,N,Y,N,N,"June, 2019","June, 2020",Bought to replace a black turtleneck that fell apart
Woven Tops,1,N,,#000000,,Tops,blouse,Sheer crepe,2012,Los Angeles,Y,N,N,N,N,"June, 2011","June, 2014",For date nights
Woven Tops,2,Y,23,#434a5b,#f3f4d0,Tops,shirt,Silk French-hen print,2012,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014",The French hens still make me laugh
Woven Tops,3,Y,24,#8e322e,#000000,Tops,shirt,Silk check-print,2013,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014",Interview shirt
Woven Tops,4,Y,31,#FFFFFF,#7584a0,Tops,shirt,Striped western-style,2014,"Moved in with Steven, Nottingham",N,Y,N,Y,N,"June, 2014","September, 2014",Steven found this in a vinatge shop in Glasgow
Woven Tops,5,Y,37,#428376,#ed1e4b,Tops,shirt,Silk jungle-print,2016,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Steven originally wanted to buy this until we realized it was my size
Woven Tops,6,Y,38,#964038,#384942,Tops,shirt,Check flannel,2016,"The Orme School, Mayer, AZ",Y,N,Y,N,N,"September, 2016","June, 2019",Fall shirt
Woven Tops,7,Y,40,#2f2e4c,#FFFFFF,Tops,top,Embroidered,2017,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Another piece from an alleged socialite whose family owned a major pencil manufacturer in the 60s
Woven Tops,8,Y,44,#c92d40,#af945d,Tops,shirt,Striped,2019,"Roslindale, MA",N,Y,N,Y,N,"June, 2019","June, 2020","Steven calls this one my ""circus shirt"""
