group_y,ypos,Brand,Primary_Color,Secondary_Color,Pattern,Pattern_ID,group_ID,group,Category,Sub_Category,Description,Year_Entered,Era,Gifted,Vintage,Online_Purchase,Traveling_Purchase,Quarantine_Purchase,Era_Date_Start,Era_End_Date,Notes
21,44,Agnes B,#000000,#FFFFFF,Y,53,5,Knit Tops,Tops,tee,Signature graphic,2020,"Roslindale, MA",N,Y,Y,N,Y,"June, 2019","June, 2020",First quarantine purchase; all I wanted to wear were long-sleeved tees
22,48,Flat File,#FFFFFF,#e56d13,Y,56,5,Knit Tops,Tops,tee,Matisse graphic,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,My brief foray into only wearing tee shirts and bike shorts
24,45,Mango,#7a6658,,N,,5,Knit Tops,Tops,bra top,Sweater,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,Learning to love my boobies
25,43,H & M,#FFFFFF,,N,,5,Knit Tops,Tops,tank,Ribbed halter,2020,"Roslindale, MA",N,N,Y,N,Y,"June, 2019","June, 2020",Cheap summer top
26,49,Monogram,#FFFFFF,#b21d24,Y,57,5,Knit Tops,Tops,tee,Les Fraises graphic,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,My brief foray into only wearing tee shirts and bike shorts
1,4,Anthropologie,#8c0e1d,#425650,Y,2,6,Pants,Bottoms,pants,Plaid corduroy,2011,Los Angeles,N,N,N,Y,N,"June, 2011","June, 2014",Used a secret santa gift card to get these on serious discount
2,9,Madewell,#2e3849,#FFFFFF,Y,3,6,Pants,Bottoms,pants,Wool pinstripe,2016,"The Orme School, Mayer, AZ",Y,N,Y,N,N,"September, 2016","June, 2019",Work pants
3,12,Madewell,#4d5266,,N,,6,Pants,Bottoms,pants,Silk tie-belt,2019,"Roslindale, MA",Y,N,N,N,N,"June, 2019","June, 2020",Bought for an interview
1,8,Guess,#b90010,#000000,Y,8,7,Rompers & Jumpsuits,Dresses & Jumpsuits,romper,Plaid front-zip,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014","This is a ridiculous romper that Steven convinced me to get, but I still wear it to parties"
2,11,Free People,#FFFFFF,,N,,7,Rompers & Jumpsuits,Dresses & Jumpsuits,romper,Crocheted,2015,"Hangzhou, China",Y,N,N,Y,N,"September, 2014","July, 2016",Wore this for my wedding after-party at the beach
3,14,Kapital,#70797f,,N,,7,Rompers & Jumpsuits,Dresses & Jumpsuits,jumpsuit,Embroidered denim,2016,"Hangzhou, China",N,N,N,Y,N,"September, 2014","July, 2016","The Kapital flagship store is part art gallery, part immersive surrealist shopping experience: a maze of levels with Wes Anderson-esque intrumentals piped through the sound system"
4,15,Marimekko,#FFFFFF,#889bba,Y,12,7,Rompers & Jumpsuits,Dresses & Jumpsuits,overalls,Striped Marimekko,2016,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016",Kyoto has surprisingly good vintage shopping
5,16,,#54638c,,N,,7,Rompers & Jumpsuits,Dresses & Jumpsuits,overalls,Short,2016,"Hangzhou, China",N,Y,N,Y,N,"September, 2014","July, 2016","First purchase in Tokyo, right after I dyed my hair pink"
6,22,Neiman Marcus,#a57e56,,N,,7,Rompers & Jumpsuits,Dresses & Jumpsuits,jumpsuit,sweater,2017,"The Orme School, Mayer, AZ",Y,Y,N,N,N,"September, 2016","June, 2019",Steven found this in a thrift store in a tiny high-desert town in Arizona and it fits perfectly!
7,23,,#f861b7,,N,,7,Rompers & Jumpsuits,Dresses & Jumpsuits,jumpsuit,Sleeveless,2018,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Got this when I was pregnant and just starting to show
8,25,Paloma Wool,#1e737c,,N,,7,Rompers & Jumpsuits,Dresses & Jumpsuits,jumpsuit,Front-zip corduroy,2019,"Roslindale, MA",Y,N,Y,N,N,"June, 2019","June, 2020",Always looking for an excuse to wear this
1,1,Emilio de le Morena,#000000,,N,,,Sets,Sets,suit,Short & Vest,2013,Los Angeles,N,Y,N,N,N,"June, 2011","June, 2014",This allegedly once belonged to a tiny French model in the 70s
2,2,,#2b3258,#faa521,Y,20,,Sets,Sets,set,Floral shirt & Skirt,2019,"Roslindale, MA",N,Y,N,N,N,"June, 2019","June, 2020",I always wear these pieces separately; they're better on their own
1,1,Topshop,#ff4138,,N,,,Shorts & Skirts,Bottoms,shorts,High-waisted sailor,2009,"Study Abroad, London",N,N,N,N,N,"August, 2009","June, 2010",I could spend all day in the Topshop in Oxford Circus
2,2,,#006e5f,#f0a605,Y,1,,Shorts & Skirts,Bottoms,shorts,Color-block knit,2010,"Senior Year, Middlebury College",Y,Y,N,Y,N,10-Sep,"May, 2011","These shorts are only really suitable for parties and music festivals, but they are so special that I can't give them up yet"
3,13,Cashmere in Love,#cc0d16,#000000,Y,5,,Shorts & Skirts,Bottoms,shorts,High-waisted sweater,2020,"Roslindale, MA",Y,N,Y,N,Y,"June, 2019","June, 2020",Gift from Steven for Mother's Day
4,14,Lett,#000000,,N,,,Shorts & Skirts,Bottoms,shorts,Ribbed bike,2020,"Roslindale, MA",N,N,Y,N,Y,"June, 2019","June, 2020",In the summer I wear these almost every day
5,3,Karl Lagerfeld,#000000,,N,,,Shorts & Skirts,Bottoms,skirt,Pleated,2010,"Senior Year, Middlebury College",Y,Y,N,N,N,10-Sep,"May, 2011",My mom used to wear this on dates with my dad!
6,5,J. Crew,#595739,,N,,,Shorts & Skirts,Bottoms,skirt,Zip-front mini,2013,Los Angeles,Y,N,N,N,N,"June, 2011","June, 2014","Still can't really fit into this, but it's lovely so I'm holding out hope"
7,6,Zara,#000000,,N,,,Shorts & Skirts,Bottoms,skirt,Corduroy mini,2015,"Hangzhou, China",N,N,N,N,N,"September, 2014","July, 2016",Part of a NYE outfit
8,10,,#fd9878,#f7d360,Y,4,,Shorts & Skirts,Bottoms,skort,Hawaiian wrap,2017,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Kooky Kansas City find
1,2,,#938c82,#000000,Y,21,8,Sweaters & Sweatshirts,Tops,sweater,Geometric Lurex,2008,"Freshman Year, Middlebury College",N,Y,N,Y,N,"September, 2006","May, 2008",NYC vintage stop en route to Europe
2,3,Chanel,#7690a3,#dfb5a1,Y,22,8,Sweaters & Sweatshirts,Tops,sweater,Color-block,2009,"Study Abroad, London",Y,Y,N,N,N,"August, 2009","June, 2010",Another piece inherited from my mom; didn't realize it was Chanel until I found a tiny tag on the bottom hem
3,4,French Connection,#000000,,N,,8,Sweaters & Sweatshirts,Tops,sweater,Drapey,2009,"Study Abroad, London",N,N,N,N,N,"August, 2009","June, 2010",Layers up well in the fall
4,10,Aritzia,#e5dfd6,,N,,8,Sweaters & Sweatshirts,Tops,sweater,Ribbed crop,2013,Los Angeles,Y,N,N,Y,N,"June, 2011","June, 2014","Even though there are a few little stains on this, it's too beautiful for me to give up on it"
5,11,Aritzia,#97bfb8,#6d5561,Y,25,8,Sweaters & Sweatshirts,Tops,sweater,Rainbow yarn,2013,Los Angeles,Y,N,N,Y,N,"June, 2011","June, 2014","Slightly awkward cut, but the fabric is like a hazy daydream"
6,12,Opening Ceremony,#FFFFFF,#24294f,Y,26,8,Sweaters & Sweatshirts,Tops,sweater,"""L"" monogram",2013,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014",RIP Opening Ceremony
7,20,Madewell,#4f4e4b,,N,,8,Sweaters & Sweatshirts,Tops,sweatshirt,Quilted,2015,"Hangzhou, China",Y,N,N,Y,N,"September, 2014","July, 2016","Looks kind of like a taberd, but cozier"
8,37,Cupcakes & Cashmere,#f7decd,#5d698c,Y,45,8,Sweaters & Sweatshirts,Tops,sweater,Confetti-yarn,2019,"Roslindale, MA",Y,N,Y,N,N,"June, 2019","June, 2020",Replaced 3 or 4 moth-eaten sweaters with this one
9,32,Sezane,#ac4437,#4f657a,Y,46,8,Sweaters & Sweatshirts,Tops,sweater,Color-block,2019,"The Orme School, Mayer, AZ",Y,N,Y,N,N,"June, 2019","June, 2020",There are buttons on the back!
10,46,Monogram,#000000,#FFFFFF,Y,54,8,Sweaters & Sweatshirts,Tops,sweatshirt,Club sandwich graphic,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,WFH coziness
11,47,The Reformation,#FFFFFF,#b4c0d1,Y,55,8,Sweaters & Sweatshirts,Tops,sweatshirt,Tie-dyed half-zip,2020,"Lawrence, MA",N,N,Y,N,Y,"June, 2020",and beyond,WFH coziness
12,41,Madewell,#65635a,#bcbab5,Y,52,8,Sweaters & Sweatshirts,Tops,sweater,Textured yarn,2020,"Roslindale, MA",Y,N,N,N,N,"June, 2019","June, 2020",Bought for an interview
13,42,Uniqlo,#000000,,N,,8,Sweaters & Sweatshirts,Tops,sweater,Ribbed turtleneck,2020,"Roslindale, MA",N,N,Y,N,N,"June, 2019","June, 2020",Bought to replace a black turtleneck that fell apart
1,6,Aritzia,#000000,,N,,9,Woven Tops,Tops,blouse,Sheer crepe,2012,Los Angeles,Y,N,N,N,N,"June, 2011","June, 2014",For date nights
2,7,J. Crew,#434a5b,#f3f4d0,Y,23,9,Woven Tops,Tops,shirt,Silk French-hen print,2012,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014",The French hens still make me laugh
3,9,Madewell,#8e322e,#000000,Y,24,9,Woven Tops,Tops,shirt,Silk check-print,2013,Los Angeles,N,N,N,N,N,"June, 2011","June, 2014",Interview shirt
4,19,,#FFFFFF,#7584a0,Y,31,9,Woven Tops,Tops,shirt,Striped western-style,2014,"Moved in with Steven, Nottingham",N,Y,N,Y,N,"June, 2014","September, 2014",Steven found this in a vinatge shop in Glasgow
5,26,Diane von Furstenberg,#428376,#ed1e4b,Y,37,9,Woven Tops,Tops,shirt,Silk jungle-print,2016,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Steven originally wanted to buy this until we realized it was my size
6,27,Madewell,#964038,#384942,Y,38,9,Woven Tops,Tops,shirt,Check flannel,2016,"The Orme School, Mayer, AZ",Y,N,Y,N,N,"September, 2016","June, 2019",Fall shirt
8,36,,#c92d40,#af945d,Y,44,9,Woven Tops,Tops,shirt,Striped,2019,"Roslindale, MA",N,Y,N,Y,N,"June, 2019","June, 2020","Steven calls this one my ""circus shirt"""
7,30,,#2f2e4c,#FFFFFF,Y,40,9,Woven Tops,Tops,top,Embroidered,2017,"The Orme School, Mayer, AZ",N,Y,N,Y,N,"September, 2016","June, 2019",Another piece from an alleged socialite whose family owned a major pencil manufacturer in the 60s
