name,status,length,kids,age,gender
Fickle,engaged,over_thirty,kids_none,to_fifty,male
Strong,engaged,over_thirty,kids_none,to_fifty,male
Strong,engaged,over_thirty,kids_none,to_fifty,male
Strong,engaged,over_thirty,kids_none,to_sixty,male
Broken,engaged,over_thirty,kids_none,to_sixty,male
Broken,engaged,over_thirty,kids_none,to_sixty,male
Reliable,engaged,over_thirty,kids_to_fifth,to_fifty,male
Reliable,engaged,over_thirty,kids_to_fifth,to_fifty,male
Reliable,engaged,over_thirty,kids_to_twelfth,to_fifty,male
Reliable,engaged,over_thirty,kids_to_twelfth,to_fifty,male
Reliable,engaged,over_thirty,kids_to_twelfth,to_fifty,female
Fickle,engaged,over_thirty,kids_to_twelfth,to_fifty,female
Fickle,engaged,over_thirty,kids_to_twelfth,to_fifty,female
Fickle,engaged,over_thirty,kids_to_twelfth,to_fifty,female
Fickle,engaged,over_thirty,kids_to_twelfth,to_fifty,female
Fickle,engaged,over_thirty,kids_to_twelfth,to_fifty,female
Estranged,engaged,over_thirty,kids_to_twelfth,to_fifty,female
Estranged,engaged,over_thirty,kids_to_twelfth,to_fifty,female
Estranged,engaged,over_thirty,kids_to_twelfth,to_fifty,female
Estranged,engaged,over_thirty,kids_to_twelfth,to_sixty,female
Shallow,engaged,over_thirty,kids_to_twelfth,to_sixty,female
Estranged,engaged,over_thirty,kids_under_five,to_fifty,female
Estranged,engaged,over_thirty,kids_under_five,to_fifty,female
Shallow,engaged,over_thirty,kids_under_five,to_fifty,female
Shallow,engaged,over_thirty,kids_under_five,to_fifty,female
Hopeful,engaged,over_thirty,kids_under_five,to_sixty,female
Fickle,engaged,over_thirty,kids_under_five,to_sixty,female
Fickle,engaged,over_thirty,kids_under_five,to_sixty,female
Thriving,engaged,six_to_ten,kids_none,to_forty,female
Detached,engaged,six_to_ten,kids_to_fifth,to_forty,female
Detached,engaged,six_to_ten,kids_to_fifth,to_forty,female
Detached,engaged,six_to_ten,kids_to_fifth,to_thirty,female
Strong,engaged,six_to_ten,kids_to_fifth,to_twentyfour,female
Fickle,engaged,six_to_ten,kids_under_five,to_thirty,female
Hopeful,engaged,six_to_ten,kids_under_five,to_twentyfour,female
Hopeful,engaged,six_to_ten,kids_under_five,to_twentyfour,male
Hopeful,engaged,six_to_ten,kids_under_five,to_twentyfour,male
Reliable,engaged,three_to_five,kids_to_fifth,to_thirty,male
Detached,engaged,three_to_five,kids_to_fifth,to_thirty,male
Detached,engaged,three_to_five,kids_to_fifth,to_thirty,male
Detached,engaged,three_to_five,kids_to_fifth,to_thirty,male
Strong,engaged,three_to_five,kids_under_five,under_eighteen,male
Estranged,engaged,twentyone_to_thirty,adult_children,to_fifty,male
Estranged,engaged,twentyone_to_thirty,adult_children,to_fifty,male
Shallow,engaged,twentyone_to_thirty,adult_children,to_fifty,male
Reliable,engaged,twentyone_to_thirty,kids_none,to_fifty,male
Reliable,engaged,twentyone_to_thirty,kids_none,to_fifty,male
Reliable,engaged,twentyone_to_thirty,kids_none,to_fifty,male
Reliable,engaged,twentyone_to_thirty,kids_none,to_fifty,male
Tentative,engaged,twentyone_to_thirty,kids_none,to_fifty,male
Detached,engaged,twentyone_to_thirty,kids_none,to_fifty,male
Detached,engaged,twentyone_to_thirty,kids_none,to_fifty,male
Hopeful,engaged,twentyone_to_thirty,kids_none,to_fifty,female
Hopeful,engaged,twentyone_to_thirty,kids_none,to_fifty,female
Hopeful,engaged,twentyone_to_thirty,kids_none,to_seventy,female
Hopeful,engaged,twentyone_to_thirty,kids_none,to_seventy,female
Shallow,engaged,twentyone_to_thirty,kids_none,to_seventy,female
Shallow,engaged,twentyone_to_thirty,kids_none,to_seventy,female
Estranged,engaged,twentyone_to_thirty,kids_to_fifth,to_fifty,female
Stuck,engaged,twentyone_to_thirty,kids_to_twelfth,to_fifty,female
Frayed,engaged,twentyone_to_thirty,kids_to_twelfth,to_fifty,female
Broken,engaged,twentyone_to_thirty,kids_to_twelfth,to_fifty,female
Broken,engaged,twentyone_to_thirty,kids_to_twelfth,to_fifty,female
Estranged,engaged,twentyone_to_thirty,kids_to_twelfth,to_fifty,female
Estranged,engaged,twentyone_to_thirty,kids_to_twelfth,to_fifty,female
Estranged,engaged,twentyone_to_thirty,kids_to_twelfth,to_fifty,female
Estranged,engaged,twentyone_to_thirty,kids_to_twelfth,to_fifty,female
Fickle,engaged,twentyone_to_thirty,kids_under_five,to_fifty,female
Estranged,engaged,twentyone_to_thirty,kids_under_five,to_fifty,female
Estranged,engaged,twentyone_to_thirty,kids_under_five,to_fifty,female
Estranged,engaged,twentyone_to_thirty,kids_under_five,to_fifty,female
Estranged,engaged,twentyone_to_thirty,kids_under_five,to_fifty,female
Thriving,engaged,under_two,kids_none,to_thirty,female
Thriving,engaged,under_two,kids_none,to_thirty,female
Thriving,engaged,under_two,kids_none,to_thirty,female
Hopeful,engaged,under_two,kids_none,to_twentyfour,female
Fickle,engaged,under_two,kids_none,to_twentyfour,female
Fickle,engaged,under_two,kids_none,to_twentyfour,female
Fickle,engaged,under_two,kids_none,to_twentyfour,female
Fickle,engaged,under_two,kids_none,to_twentyfour,female
Fickle,engaged,under_two,kids_none,to_twentyfour,female
Fickle,engaged,under_two,kids_none,to_twentyfour,female
Broken,engaged,under_two,kids_none,to_twentyfour,male
Broken,engaged,under_two,kids_none,to_twentyfour,male
Broken,engaged,under_two,kids_none,to_twentyfour,male
Thriving,engaged,under_two,kids_none,to_twentyfour,male
Thriving,engaged,under_two,kids_none,to_twentyfour,male
Thriving,engaged,under_two,kids_none,to_twentyfour,male
Thriving,engaged,under_two,kids_none,to_twentyfour,male
Hopeful,engaged,under_two,kids_none,under_eighteen,male
Hopeful,engaged,under_two,kids_under_five,to_thirty,male
Strong,engaged,under_two,kids_under_five,to_thirty,male
Strong,engaged,under_two,kids_under_five,to_thirty,male
Broken,engaged,under_two,kids_under_five,to_thirty,male
Thriving,engaged,under_two,kids_under_five,to_thirty,male
Shallow,engaged,under_two,kids_under_five,to_thirty,male
Shallow,engaged,under_two,kids_under_five,to_thirty,male
Shallow,engaged,under_two,kids_under_five,to_thirty,male
Shallow,engaged,under_two,kids_under_five,to_thirty,male
Shallow,engaged,under_two,kids_under_five,to_thirty,male
Shallow,engaged,under_two,kids_under_five,to_thirty,male
Shallow,engaged,under_two,kids_under_five,to_thirty,male
Hopeful,engaged,under_two,kids_under_five,to_twentyfour,male
Hopeful,engaged,under_two,kids_under_five,to_twentyfour,male
Hopeful,engaged,under_two,kids_under_five,to_twentyfour,male
Hopeful,engaged,under_two,kids_under_five,to_twentyfour,male
Hopeful,engaged,under_two,kids_under_five,to_twentyfour,male
Hopeful,engaged,under_two,kids_under_five,to_twentyfour,male
Fickle,engaged,under_two,kids_under_five,to_twentyfour,male
Fickle,engaged,under_two,kids_under_five,to_twentyfour,male
Fickle,engaged,under_two,kids_under_five,to_twentyfour,male
Strong,engaged,under_two,kids_under_five,to_twentyfour,male
Detached,living_together,eleven_to_twenty,adult_children,to_fifty,male
Detached,living_together,eleven_to_twenty,adult_children,to_fifty,female
Fickle,living_together,eleven_to_twenty,adult_children,to_fifty,female
Fickle,living_together,eleven_to_twenty,adult_children,to_fifty,female
Fickle,living_together,eleven_to_twenty,kids_none,to_fifty,female
Fickle,living_together,eleven_to_twenty,kids_none,to_forty,female
Fickle,living_together,eleven_to_twenty,kids_none,to_thirty,female
Fickle,living_together,eleven_to_twenty,kids_none,to_thirty,female
Fickle,living_together,eleven_to_twenty,kids_none,to_thirty,female
Fickle,living_together,eleven_to_twenty,kids_none,to_thirty,female
Fickle,living_together,eleven_to_twenty,kids_none,to_thirty,female
Fickle,living_together,eleven_to_twenty,kids_none,to_thirty,female
Stuck,living_together,eleven_to_twenty,kids_to_fifth,to_forty,female
Thriving,living_together,eleven_to_twenty,kids_to_fifth,to_forty,female
Shallow,living_together,eleven_to_twenty,kids_to_fifth,to_forty,female
Stuck,living_together,eleven_to_twenty,kids_to_twelfth,to_fifty,female
Detached,living_together,eleven_to_twenty,kids_to_twelfth,to_forty,female
Detached,living_together,eleven_to_twenty,kids_to_twelfth,to_forty,female
Detached,living_together,eleven_to_twenty,kids_under_five,to_fifty,female
Shallow,living_together,eleven_to_twenty,kids_under_five,to_forty,female
Shallow,living_together,eleven_to_twenty,kids_under_five,to_forty,female
Shallow,living_together,eleven_to_twenty,kids_under_five,to_forty,female
Detached,living_together,eleven_to_twenty,kids_under_five,to_thirty,female
Detached,living_together,eleven_to_twenty,kids_under_five,to_thirty,female
Stuck,living_together,eleven_to_twenty,kids_under_five,to_thirty,female
Shallow,living_together,eleven_to_twenty,kids_under_five,to_thirty,female
Fickle,living_together,over_thirty,adult_children,to_fifty,female
Reliable,living_together,over_thirty,kids_none,to_fifty,male
Detached,living_together,over_thirty,kids_none,to_fifty,male
Detached,living_together,over_thirty,kids_none,to_fifty,male
Detached,living_together,over_thirty,kids_none,to_fifty,male
Detached,living_together,over_thirty,kids_none,to_fifty,male
Detached,living_together,over_thirty,kids_none,to_fifty,male
Hopeful,living_together,over_thirty,kids_none,to_fifty,male
Strong,living_together,over_thirty,kids_none,to_seventy,male
Strong,living_together,over_thirty,kids_none,to_seventy,male
Hopeful,living_together,over_thirty,kids_none,to_sixty,male
Hopeful,living_together,over_thirty,kids_none,to_sixty,male
Hopeful,living_together,over_thirty,kids_none,to_sixty,male
Fickle,living_together,over_thirty,kids_none,to_sixty,male
Detached,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Detached,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Detached,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Hopeful,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Hopeful,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Hopeful,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Frayed,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Frayed,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Fickle,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Fickle,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Fickle,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Fickle,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Fickle,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Fickle,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Fickle,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Fickle,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Fickle,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Fickle,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Shallow,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Shallow,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Shallow,living_together,over_thirty,kids_to_twelfth,to_fifty,male
Shallow,living_together,over_thirty,kids_under_five,to_fifty,male
Shallow,living_together,over_thirty,kids_under_five,to_fifty,female
Shallow,living_together,over_thirty,kids_under_five,to_fifty,female
Shallow,living_together,over_thirty,kids_under_five,to_fifty,female
Shallow,living_together,over_thirty,kids_under_five,to_fifty,female
Fickle,living_together,six_to_ten,kids_none,to_forty,female
Shallow,living_together,six_to_ten,kids_none,to_forty,female
Shallow,living_together,six_to_ten,kids_none,to_forty,female
Tentative,living_together,six_to_ten,kids_none,to_thirty,female
Hopeful,living_together,six_to_ten,kids_none,to_thirty,female
Fickle,living_together,six_to_ten,kids_none,to_thirty,female
Fickle,living_together,six_to_ten,kids_none,to_thirty,female
Stuck,living_together,six_to_ten,kids_under_five,to_fifty,female
Frayed,living_together,six_to_ten,kids_under_five,to_fifty,female
Shallow,living_together,six_to_ten,kids_under_five,to_twentyfour,female
Shallow,living_together,six_to_ten,kids_under_five,to_twentyfour,female
Fickle,living_together,three_to_five,kids_none,to_thirty,female
Tentative,living_together,three_to_five,kids_none,to_twentyfour,female
Detached,living_together,three_to_five,kids_none,to_twentyfour,female
Detached,living_together,three_to_five,kids_none,to_twentyfour,female
Hopeful,living_together,three_to_five,kids_none,to_twentyfour,female
Detached,living_together,three_to_five,kids_to_fifth,to_forty,female
Detached,living_together,three_to_five,kids_to_fifth,to_forty,female
Detached,living_together,three_to_five,kids_to_fifth,to_forty,female
Stuck,living_together,three_to_five,kids_under_five,to_forty,female
Detached,living_together,twentyone_to_thirty,adult_children,to_fifty,female
Detached,living_together,twentyone_to_thirty,adult_children,to_fifty,male
Detached,living_together,twentyone_to_thirty,adult_children,to_fifty,male
Hopeful,living_together,twentyone_to_thirty,adult_children,to_fifty,male
Hopeful,living_together,twentyone_to_thirty,adult_children,to_fifty,male
Fickle,living_together,twentyone_to_thirty,adult_children,to_fifty,male
Fickle,living_together,twentyone_to_thirty,adult_children,to_fifty,male
Fickle,living_together,twentyone_to_thirty,adult_children,to_fifty,male
Fickle,living_together,twentyone_to_thirty,adult_children,to_fifty,male
Fickle,living_together,twentyone_to_thirty,adult_children,to_sixty,male
Fickle,living_together,twentyone_to_thirty,adult_children,to_sixty,male
Shallow,living_together,twentyone_to_thirty,adult_children,to_sixty,male
Fickle,living_together,twentyone_to_thirty,kids_none,to_fifty,male
Fickle,living_together,twentyone_to_thirty,kids_none,to_fifty,male
Fickle,living_together,twentyone_to_thirty,kids_none,to_fifty,male
Fickle,living_together,twentyone_to_thirty,kids_none,to_fifty,male
Shallow,living_together,twentyone_to_thirty,kids_none,to_fifty,male
Shallow,living_together,twentyone_to_thirty,kids_none,to_fifty,male
Shallow,living_together,twentyone_to_thirty,kids_none,to_fifty,male
Shallow,living_together,twentyone_to_thirty,kids_none,to_fifty,male
Hopeful,living_together,twentyone_to_thirty,kids_none,to_seventy,male
Hopeful,living_together,twentyone_to_thirty,kids_none,to_seventy,male
Stuck,living_together,twentyone_to_thirty,kids_none,to_seventy,male
Detached,living_together,twentyone_to_thirty,kids_none,to_sixty,male
Detached,living_together,twentyone_to_thirty,kids_none,to_sixty,male
Detached,living_together,twentyone_to_thirty,kids_to_twelfth,to_fifty,male
Detached,living_together,twentyone_to_thirty,kids_to_twelfth,to_fifty,male
Hopeful,living_together,twentyone_to_thirty,kids_to_twelfth,to_fifty,male
Estranged,living_together,twentyone_to_thirty,kids_to_twelfth,to_fifty,male
Estranged,living_together,twentyone_to_thirty,kids_to_twelfth,to_fifty,male
Shallow,living_together,twentyone_to_thirty,kids_to_twelfth,to_fifty,male
Shallow,living_together,twentyone_to_thirty,kids_to_twelfth,to_fifty,male
Shallow,living_together,twentyone_to_thirty,kids_to_twelfth,to_fifty,male
Shallow,living_together,twentyone_to_thirty,kids_to_twelfth,to_fifty,male
Shallow,living_together,twentyone_to_thirty,kids_to_twelfth,to_fifty,female
Shallow,living_together,twentyone_to_thirty,kids_to_twelfth,to_fifty,female
Broken,living_together,twentyone_to_thirty,kids_to_twelfth,to_seventy,female
Broken,living_together,twentyone_to_thirty,kids_to_twelfth,to_seventy,female
Stuck,living_together,twentyone_to_thirty,kids_to_twelfth,to_sixty,female
Stuck,living_together,twentyone_to_thirty,kids_to_twelfth,to_sixty,female
Frayed,living_together,twentyone_to_thirty,kids_to_twelfth,to_sixty,female
Fickle,living_together,twentyone_to_thirty,kids_to_twelfth,to_sixty,female
Detached,living_together,twentyone_to_thirty,kids_under_five,to_fifty,female
Shallow,living_together,under_two,kids_none,to_thirty,female
Shallow,living_together,under_two,kids_none,to_thirty,female
Shallow,living_together,under_two,kids_none,to_thirty,female
Shallow,living_together,under_two,kids_none,to_thirty,female
Fickle,living_together,under_two,kids_none,to_twentyfour,female
Thriving,living_together,under_two,kids_none,to_twentyfour,female
Thriving,living_together,under_two,kids_none,to_twentyfour,female
Thriving,living_together,under_two,kids_none,to_twentyfour,female
Thriving,living_together,under_two,kids_none,to_twentyfour,female
Thriving,living_together,under_two,kids_none,to_twentyfour,female
Hopeful,living_together,under_two,kids_none,under_eighteen,female
Thriving,living_together,under_two,kids_to_fifth,to_thirty,female
Broken,living_together,under_two,kids_under_five,to_forty,female
Shallow,living_together,under_two,kids_under_five,to_forty,female
Shallow,living_together,under_two,kids_under_five,to_forty,female
Frayed,living_together,under_two,kids_under_five,to_twentyfour,female
Frayed,living_together,under_two,kids_under_five,to_twentyfour,female
Frayed,living_together,under_two,kids_under_five,to_twentyfour,male
Frayed,living_together,under_two,kids_under_five,to_twentyfour,male
Broken,living_together,under_two,kids_under_five,to_twentyfour,male
Tentative,married,eleven_to_twenty,adult_children,to_fifty,male
Detached,married,eleven_to_twenty,adult_children,to_fifty,male
Detached,married,eleven_to_twenty,adult_children,to_fifty,male
Frayed,married,eleven_to_twenty,adult_children,to_fifty,male
Strong,married,eleven_to_twenty,adult_children,to_fifty,male
