status,length,kids,age,gender,connection,commitment,score
living_together,over_thirty,kids_to_twelfth,to_fifty,male,0,3,Broken
married,eleven_to_twenty,kids_to_fifth,to_forty,female,0,3,Broken
married,over_thirty,kids_to_twelfth,to_fifty,female,0,3,Broken
married,six_to_ten,kids_none,to_thirty,male,0,3,Broken
married,twentyone_to_thirty,kids_to_twelfth,to_fifty,male,0,3,Broken
remarried,over_thirty,kids_none,to_fifty,female,0,3,Broken
remarried,six_to_ten,kids_to_fifth,to_twentyfour,female,0,3,Broken
remarried,under_two,kids_none,to_thirty,male,0,3,Broken
remarried,under_two,kids_under_five,to_thirty,female,0,3,Broken
remarried,under_two,kids_under_five,under_eighteen,female,0,3,Broken
engaged,over_thirty,kids_to_twelfth,to_fifty,female,0,4,Detached
engaged,over_thirty,kids_to_twelfth,to_sixty,female,0,4,Detached
engaged,six_to_ten,kids_to_fifth,to_forty,female,0,4,Detached
living_together,over_thirty,kids_under_five,to_fifty,female,0,4,Detached
living_together,twentyone_to_thirty,adult_children,to_fifty,female,0,4,Detached
living_together,twentyone_to_thirty,kids_to_twelfth,to_fifty,male,0,4,Detached
married,over_thirty,kids_none,to_fifty,male,0,4,Detached
married,over_thirty,kids_none,to_fifty,male,0,4,Detached
married,twentyone_to_thirty,kids_to_fifth,to_fifty,male,0,4,Detached
married,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,0,4,Detached
married,under_two,kids_under_five,to_twentyfour,female,0,4,Detached
married,under_two,kids_under_five,to_twentyfour,female,0,4,Detached
remarried,over_thirty,kids_none,to_fifty,female,0,4,Detached
remarried,over_thirty,kids_to_fifth,to_fifty,male,0,4,Detached
remarried,over_thirty,kids_to_twelfth,to_fifty,male,0,4,Detached
remarried,under_two,kids_under_five,to_thirty,female,0,4,Detached
dating,eleven_to_twenty,kids_to_fifth,to_fifty,male,0,5,Detached
engaged,eleven_to_twenty,kids_to_fifth,to_forty,female,0,5,Detached
engaged,over_thirty,kids_none,to_fifty,male,0,5,Detached
engaged,under_two,kids_under_five,to_thirty,male,0,5,Detached
living_together,eleven_to_twenty,adult_children,to_fifty,female,0,5,Detached
living_together,six_to_ten,kids_under_five,to_fifty,female,0,5,Detached
living_together,under_two,kids_under_five,to_twentyfour,female,0,5,Detached
married,over_thirty,kids_to_fifth,to_fifty,male,0,5,Detached
married,three_to_five,kids_none,to_thirty,female,0,5,Detached
married,three_to_five,kids_to_fifth,to_thirty,female,0,5,Detached
married,twentyone_to_thirty,adult_children,to_seventy,male,0,5,Detached
married,twentyone_to_thirty,adult_children,to_sixty,female,0,5,Detached
married,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,0,5,Detached
remarried,twentyone_to_thirty,kids_none,to_sixty,male,0,5,Detached
dating,over_thirty,kids_none,to_fifty,female,0,6,Detached
dating,over_thirty,kids_under_five,to_fifty,male,0,6,Detached
engaged,twentyone_to_thirty,kids_none,to_seventy,female,0,6,Detached
living_together,eleven_to_twenty,kids_none,to_thirty,female,0,6,Detached
living_together,under_two,kids_under_five,to_twentyfour,female,0,6,Detached
married,eleven_to_twenty,kids_to_fifth,to_forty,male,0,6,Detached
married,over_thirty,kids_to_twelfth,to_fifty,male,0,6,Detached
married,twentyone_to_thirty,kids_to_fifth,to_fifty,male,0,6,Detached
married,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,0,6,Detached
married,twentyone_to_thirty,kids_under_five,to_fifty,male,0,6,Detached
remarried,over_thirty,kids_none,to_fifty,female,0,6,Detached
remarried,three_to_five,kids_to_fifth,to_thirty,male,0,6,Detached
remarried,three_to_five,kids_to_twelfth,to_fifty,male,0,6,Detached
remarried,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,0,6,Detached
dating,eleven_to_twenty,kids_none,to_forty,male,0,7,Estranged
dating,eleven_to_twenty,kids_none,to_thirty,male,0,7,Estranged
living_together,twentyone_to_thirty,kids_none,to_fifty,male,0,7,Estranged
married,over_thirty,kids_to_twelfth,to_fifty,male,0,7,Estranged
married,over_thirty,kids_under_five,to_fifty,female,0,7,Estranged
married,six_to_ten,adult_children,to_fifty,male,0,7,Estranged
married,twentyone_to_thirty,adult_children,to_fifty,male,0,7,Estranged
married,twentyone_to_thirty,kids_none,to_fifty,female,0,7,Estranged
married,under_two,kids_none,to_twentyfour,female,0,7,Estranged
remarried,under_two,kids_none,to_twentyfour,male,0,7,Estranged
dating,twentyone_to_thirty,kids_to_twelfth,to_fifty,male,0,8,Estranged
dating,under_two,kids_under_five,under_eighteen,female,0,8,Estranged
engaged,under_two,kids_under_five,to_twentyfour,male,0,8,Estranged
living_together,eleven_to_twenty,kids_to_twelfth,to_forty,female,0,8,Estranged
married,eleven_to_twenty,kids_to_fifth,to_fifty,female,0,8,Estranged
married,over_thirty,kids_to_fifth,to_fifty,male,0,8,Estranged
married,six_to_ten,kids_under_five,to_thirty,male,0,8,Estranged
married,three_to_five,kids_under_five,to_forty,male,0,8,Estranged
married,under_two,kids_none,to_thirty,female,0,8,Estranged
remarried,twentyone_to_thirty,kids_to_fifth,to_fifty,female,0,8,Estranged
remarried,under_two,kids_under_five,to_thirty,female,0,8,Estranged
dating,eleven_to_twenty,kids_to_fifth,to_fifty,male,0,9,Estranged
dating,eleven_to_twenty,kids_to_fifth,to_forty,male,0,9,Estranged
engaged,over_thirty,kids_to_twelfth,to_fifty,female,0,9,Estranged
engaged,three_to_five,kids_to_fifth,to_thirty,male,0,9,Estranged
engaged,twentyone_to_thirty,adult_children,to_fifty,male,0,9,Estranged
living_together,over_thirty,kids_none,to_fifty,male,0,9,Estranged
living_together,over_thirty,kids_under_five,to_fifty,female,0,9,Estranged
living_together,under_two,kids_none,to_twentyfour,female,0,9,Estranged
married,eleven_to_twenty,adult_children,to_sixty,male,0,9,Estranged
married,over_thirty,adult_children,to_sixty,male,0,9,Estranged
married,over_thirty,kids_none,to_sixty,female,0,9,Estranged
married,over_thirty,kids_none,to_sixty,female,0,9,Estranged
married,six_to_ten,kids_to_fifth,to_thirty,male,0,9,Estranged
married,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,0,9,Estranged
married,under_two,kids_under_five,to_thirty,female,0,9,Estranged
married,under_two,kids_under_five,to_twentyfour,female,0,9,Estranged
remarried,over_thirty,kids_to_twelfth,to_fifty,male,0,9,Estranged
remarried,three_to_five,kids_to_fifth,to_forty,male,0,9,Estranged
remarried,three_to_five,kids_to_twelfth,to_fifty,male,0,9,Estranged
dating,over_thirty,kids_none,to_fifty,female,0,10,Estranged
dating,under_two,kids_none,under_eighteen,male,0,10,Estranged
engaged,over_thirty,kids_none,to_fifty,male,0,10,Estranged
engaged,over_thirty,kids_to_twelfth,to_fifty,female,0,10,Estranged
living_together,eleven_to_twenty,kids_to_fifth,to_forty,female,0,10,Estranged
living_together,twentyone_to_thirty,kids_to_twelfth,to_fifty,male,0,10,Estranged
married,eleven_to_twenty,adult_children,to_fifty,male,0,10,Estranged
married,over_thirty,kids_to_twelfth,to_fifty,female,0,10,Estranged
married,over_thirty,kids_to_twelfth,to_fifty,female,0,10,Estranged
married,twentyone_to_thirty,kids_none,to_fifty,female,0,10,Estranged
married,twentyone_to_thirty,kids_to_twelfth,to_fifty,male,0,10,Estranged
married,twentyone_to_thirty,kids_under_five,to_fifty,male,0,10,Estranged
engaged,under_two,kids_none,to_twentyfour,female,1,0,Broken
engaged,under_two,kids_under_five,to_thirty,male,1,0,Broken
married,over_thirty,kids_none,to_fifty,female,1,0,Broken
married,over_thirty,kids_none,to_fifty,male,1,0,Broken
married,twentyone_to_thirty,kids_none,to_fifty,male,1,0,Broken
married,twentyone_to_thirty,kids_to_fifth,to_fifty,male,1,0,Broken
remarried,eleven_to_twenty,kids_to_fifth,to_thirty,male,1,0,Broken
remarried,over_thirty,kids_none,to_seventy,male,1,0,Broken
remarried,over_thirty,kids_to_twelfth,to_fifty,male,1,0,Broken
dating,eleven_to_twenty,kids_none,to_thirty,male,1,1,Broken
dating,eleven_to_twenty,kids_to_fifth,to_thirty,female,1,1,Broken
dating,over_thirty,kids_to_twelfth,to_fifty,female,1,1,Broken
dating,over_thirty,kids_to_twelfth,to_fifty,female,1,1,Broken
engaged,over_thirty,kids_none,to_fifty,male,1,1,Broken
engaged,over_thirty,kids_to_twelfth,to_fifty,female,1,1,Broken
living_together,six_to_ten,kids_none,to_thirty,female,1,1,Broken
living_together,twentyone_to_thirty,kids_to_twelfth,to_fifty,male,1,1,Broken
married,six_to_ten,kids_to_fifth,to_forty,male,1,1,Broken
married,three_to_five,kids_to_fifth,to_thirty,female,1,1,Broken
remarried,over_thirty,kids_none,to_sixty,male,1,1,Broken
remarried,over_thirty,kids_none,to_sixty,male,1,1,Broken
remarried,over_thirty,kids_to_fifth,to_fifty,male,1,1,Broken
dating,twentyone_to_thirty,kids_to_twelfth,to_sixty,male,1,2,Frayed
engaged,eleven_to_twenty,kids_to_fifth,to_forty,female,1,2,Frayed
living_together,three_to_five,kids_to_fifth,to_forty,female,1,2,Frayed
married,over_thirty,kids_none,to_fifty,female,1,2,Frayed
married,twentyone_to_thirty,adult_children,to_sixty,female,1,2,Frayed
married,twentyone_to_thirty,kids_to_fifth,to_fifty,male,1,2,Frayed
married,under_two,kids_none,to_twentyfour,male,1,2,Frayed
remarried,eleven_to_twenty,kids_under_five,to_forty,female,1,2,Frayed
dating,eleven_to_twenty,kids_none,to_forty,male,1,3,Frayed
dating,under_two,kids_under_five,to_twentyfour,female,1,3,Frayed
dating,under_two,kids_under_five,under_eighteen,female,1,3,Frayed
living_together,eleven_to_twenty,adult_children,to_fifty,female,1,3,Frayed
living_together,twentyone_to_thirty,kids_to_twelfth,to_sixty,female,1,3,Frayed
married,eleven_to_twenty,kids_none,to_thirty,female,1,3,Frayed
married,eleven_to_twenty,kids_to_fifth,to_fifty,female,1,3,Frayed
married,over_thirty,kids_none,to_fifty,male,1,3,Frayed
married,twentyone_to_thirty,kids_none,to_fifty,female,1,3,Frayed
married,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,1,3,Frayed
married,under_two,kids_none,to_twentyfour,male,1,3,Frayed
married,under_two,kids_under_five,to_forty,male,1,3,Frayed
dating,twentyone_to_thirty,adult_children,to_sixty,male,1,4,Detached
dating,twentyone_to_thirty,kids_none,to_fifty,male,1,4,Detached
living_together,over_thirty,kids_to_twelfth,to_fifty,male,1,4,Detached
living_together,twentyone_to_thirty,adult_children,to_fifty,male,1,4,Detached
married,six_to_ten,kids_under_five,to_thirty,male,1,4,Detached
married,three_to_five,kids_none,to_twentyfour,female,1,4,Detached
married,three_to_five,kids_under_five,to_thirty,male,1,4,Detached
married,twentyone_to_thirty,kids_to_fifth,to_fifty,male,1,4,Detached
married,under_two,kids_none,to_thirty,female,1,4,Detached
married,under_two,kids_under_five,to_thirty,male,1,4,Detached
married,under_two,kids_under_five,to_thirty,male,1,4,Detached
remarried,over_thirty,kids_to_twelfth,to_fifty,male,1,4,Detached
remarried,under_two,kids_under_five,to_thirty,female,1,4,Detached
dating,under_two,kids_none,under_eighteen,male,1,5,Detached
engaged,eleven_to_twenty,kids_to_fifth,to_forty,female,1,5,Detached
engaged,under_two,kids_under_five,to_thirty,male,1,5,Detached
married,eleven_to_twenty,kids_none,to_forty,male,1,5,Detached
married,under_two,kids_none,under_eighteen,male,1,5,Detached
married,under_two,kids_under_five,to_thirty,male,1,5,Detached
remarried,over_thirty,kids_none,to_fifty,female,1,5,Detached
remarried,over_thirty,kids_none,to_sixty,male,1,5,Detached
remarried,twentyone_to_thirty,kids_none,to_fifty,male,1,5,Detached
remarried,twentyone_to_thirty,kids_none,to_sixty,female,1,5,Detached
dating,over_thirty,kids_to_twelfth,to_fifty,female,1,6,Detached
dating,twentyone_to_thirty,kids_to_twelfth,to_fifty,male,1,6,Detached
engaged,under_two,kids_none,to_twentyfour,male,1,6,Detached
married,eleven_to_twenty,kids_none,to_thirty,male,1,6,Detached
remarried,over_thirty,adult_children,to_fifty,female,1,6,Detached
remarried,under_two,kids_none,to_twentyfour,male,1,6,Detached
dating,over_thirty,kids_to_twelfth,to_fifty,female,1,7,Stuck
dating,twentyone_to_thirty,kids_to_twelfth,to_sixty,male,1,7,Stuck
dating,under_two,kids_under_five,to_twentyfour,female,1,7,Stuck
living_together,eleven_to_twenty,kids_none,to_forty,female,1,7,Stuck
married,six_to_ten,kids_none,to_thirty,male,1,7,Stuck
married,under_two,kids_under_five,to_thirty,male,1,7,Stuck
married,under_two,kids_under_five,to_twentyfour,female,1,7,Stuck
remarried,eleven_to_twenty,kids_to_fifth,to_thirty,male,1,7,Stuck
remarried,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,1,7,Stuck
remarried,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,1,7,Stuck
dating,six_to_ten,kids_under_five,to_twentyfour,male,1,8,Stuck
engaged,over_thirty,kids_to_twelfth,to_fifty,male,1,8,Stuck
engaged,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,1,8,Stuck
living_together,twentyone_to_thirty,adult_children,to_sixty,male,1,8,Stuck
married,eleven_to_twenty,kids_none,to_forty,male,1,8,Stuck
married,over_thirty,kids_none,to_fifty,female,1,8,Stuck
married,six_to_ten,kids_under_five,to_thirty,male,1,8,Stuck
married,three_to_five,adult_children,to_fifty,male,1,8,Stuck
married,three_to_five,kids_none,to_twentyfour,female,1,8,Stuck
married,twentyone_to_thirty,adult_children,to_fifty,male,1,8,Stuck
married,twentyone_to_thirty,kids_under_five,to_fifty,male,1,8,Stuck
married,under_two,kids_under_five,to_forty,male,1,8,Stuck
remarried,eleven_to_twenty,kids_to_fifth,to_thirty,male,1,8,Stuck
remarried,over_thirty,kids_none,to_fifty,female,1,8,Stuck
dating,twentyone_to_thirty,kids_under_five,to_fifty,male,1,9,Estranged
engaged,over_thirty,kids_none,to_fifty,male,1,9,Estranged
married,eleven_to_twenty,kids_under_five,to_forty,male,1,9,Estranged
married,eleven_to_twenty,kids_under_five,to_thirty,male,1,9,Estranged
married,over_thirty,kids_none,to_sixty,female,1,9,Estranged
married,three_to_five,kids_to_fifth,to_thirty,female,1,9,Estranged
married,twentyone_to_thirty,adult_children,to_fifty,male,1,9,Estranged
married,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,1,9,Estranged
married,under_two,kids_none,to_thirty,female,1,9,Estranged
married,under_two,kids_none,to_twentyfour,male,1,9,Estranged
remarried,eleven_to_twenty,adult_children,to_fifty,male,1,9,Estranged
remarried,eleven_to_twenty,kids_to_fifth,to_forty,male,1,9,Estranged
remarried,six_to_ten,kids_under_five,to_forty,female,1,9,Estranged
remarried,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,1,9,Estranged
dating,twentyone_to_thirty,kids_to_twelfth,to_fifty,male,1,10,Estranged
dating,twentyone_to_thirty,kids_to_twelfth,to_sixty,male,1,10,Estranged
dating,under_two,kids_none,under_eighteen,male,1,10,Estranged
dating,under_two,kids_under_five,under_eighteen,female,1,10,Estranged
engaged,under_two,kids_under_five,to_twentyfour,male,1,10,Estranged
living_together,twentyone_to_thirty,kids_to_twelfth,to_fifty,male,1,10,Estranged
married,eleven_to_twenty,adult_children,to_fifty,male,1,10,Estranged
married,eleven_to_twenty,kids_to_fifth,to_fifty,female,1,10,Estranged
married,over_thirty,kids_none,to_fifty,male,1,10,Estranged
married,over_thirty,kids_to_fifth,to_fifty,male,1,10,Estranged
married,over_thirty,kids_to_twelfth,to_fifty,female,1,10,Estranged
remarried,over_thirty,kids_to_twelfth,to_fifty,male,1,10,Estranged
remarried,under_two,kids_none,to_twentyfour,male,1,10,Estranged
engaged,eleven_to_twenty,kids_to_fifth,to_forty,female,2,0,Broken
engaged,under_two,kids_none,to_thirty,female,2,0,Broken
engaged,under_two,kids_none,to_twentyfour,male,2,0,Broken
living_together,three_to_five,kids_none,to_twentyfour,female,2,0,Broken
married,eleven_to_twenty,kids_to_fifth,to_thirty,male,2,0,Broken
married,over_thirty,kids_to_twelfth,to_fifty,female,2,0,Broken
married,over_thirty,kids_to_twelfth,to_fifty,male,2,0,Broken
married,twentyone_to_thirty,kids_to_twelfth,to_fifty,male,2,0,Broken
remarried,twentyone_to_thirty,adult_children,to_fifty,male,2,0,Broken
remarried,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,2,0,Broken
remarried,under_two,kids_none,to_twentyfour,male,2,0,Broken
dating,under_two,kids_none,under_eighteen,male,2,1,Frayed
living_together,over_thirty,kids_to_twelfth,to_fifty,male,2,1,Frayed
married,eleven_to_twenty,kids_under_five,to_forty,male,2,1,Frayed
married,under_two,kids_none,to_thirty,female,2,1,Frayed
remarried,twentyone_to_thirty,kids_none,to_sixty,male,2,1,Frayed
remarried,under_two,kids_none,to_twentyfour,male,2,1,Frayed
dating,twentyone_to_thirty,adult_children,to_sixty,male,2,2,Frayed
engaged,twentyone_to_thirty,kids_none,to_seventy,female,2,2,Frayed
engaged,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,2,2,Frayed
married,over_thirty,kids_none,to_fifty,male,2,2,Frayed
married,over_thirty,kids_to_twelfth,to_fifty,female,2,2,Frayed
married,over_thirty,kids_to_twelfth,to_fifty,female,2,2,Frayed
married,three_to_five,kids_none,to_thirty,female,2,2,Frayed
married,twentyone_to_thirty,adult_children,to_fifty,male,2,2,Frayed
married,under_two,kids_under_five,to_twentyfour,female,2,2,Frayed
remarried,three_to_five,kids_under_five,to_thirty,male,2,2,Frayed
remarried,twentyone_to_thirty,kids_to_fifth,to_fifty,female,2,2,Frayed
dating,under_two,kids_none,under_eighteen,male,2,3,Frayed
engaged,eleven_to_twenty,adult_children,to_fifty,female,2,3,Frayed
engaged,under_two,kids_none,to_twentyfour,male,2,3,Frayed
married,over_thirty,kids_to_twelfth,to_fifty,male,2,3,Frayed
married,over_thirty,kids_to_twelfth,to_fifty,female,2,3,Frayed
married,six_to_ten,kids_to_fifth,to_forty,male,2,3,Frayed
married,twentyone_to_thirty,kids_to_fifth,to_fifty,male,2,3,Frayed
married,twentyone_to_thirty,kids_to_fifth,to_fifty,male,2,3,Frayed
married,twentyone_to_thirty,kids_to_fifth,to_fifty,male,2,3,Frayed
married,under_two,kids_none,to_thirty,female,2,3,Frayed
married,under_two,kids_none,under_eighteen,male,2,3,Frayed
remarried,eleven_to_twenty,kids_none,to_thirty,male,2,3,Frayed
remarried,over_thirty,kids_none,to_sixty,male,2,3,Frayed
remarried,over_thirty,kids_none,to_sixty,male,2,3,Frayed
remarried,over_thirty,kids_to_twelfth,to_fifty,female,2,3,Frayed
remarried,six_to_ten,kids_none,to_twentyfour,female,2,3,Frayed
dating,over_thirty,kids_to_twelfth,to_fifty,female,2,4,Detached
married,over_thirty,kids_none,to_seventy,male,2,4,Detached
married,three_to_five,kids_under_five,to_fifty,female,2,4,Detached
married,twentyone_to_thirty,adult_children,to_sixty,female,2,4,Detached
married,twentyone_to_thirty,kids_to_twelfth,to_fifty,male,2,4,Detached
married,under_two,kids_under_five,to_forty,male,2,4,Detached
remarried,over_thirty,kids_to_twelfth,to_fifty,female,2,4,Detached
dating,under_two,kids_none,to_twentyfour,male,2,5,Detached
engaged,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,2,5,Detached
living_together,over_thirty,kids_to_twelfth,to_fifty,male,2,5,Detached
living_together,over_thirty,kids_under_five,to_fifty,male,2,5,Detached
married,eleven_to_twenty,kids_to_fifth,to_forty,female,2,5,Detached
married,over_thirty,kids_to_twelfth,to_fifty,female,2,5,Detached
married,under_two,kids_none,to_thirty,female,2,5,Detached
remarried,eleven_to_twenty,kids_to_fifth,to_thirty,male,2,5,Detached
remarried,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,2,5,Detached
remarried,under_two,kids_to_twelfth,to_forty,female,2,5,Detached
dating,twentyone_to_thirty,kids_to_fifth,to_fifty,female,2,6,Detached
engaged,three_to_five,kids_to_fifth,to_thirty,male,2,6,Detached
living_together,twentyone_to_thirty,kids_to_twelfth,to_seventy,female,2,6,Detached
living_together,twentyone_to_thirty,kids_to_twelfth,to_sixty,female,2,6,Detached
married,over_thirty,kids_none,to_fifty,female,2,6,Detached
married,over_thirty,kids_none,to_sixty,female,2,6,Detached
married,over_thirty,kids_to_twelfth,to_fifty,female,2,6,Detached
married,over_thirty,kids_under_five,to_fifty,female,2,6,Detached
married,six_to_ten,kids_to_twelfth,to_forty,male,2,6,Detached
married,three_to_five,kids_to_fifth,to_thirty,female,2,6,Detached
married,twentyone_to_thirty,kids_to_twelfth,to_fifty,male,2,6,Detached
married,twentyone_to_thirty,kids_under_five,to_fifty,male,2,6,Detached
remarried,under_two,kids_none,under_eighteen,male,2,6,Detached
dating,eleven_to_twenty,kids_none,to_forty,male,2,7,Stuck
engaged,eleven_to_twenty,kids_none,to_thirty,female,2,7,Stuck
engaged,eleven_to_twenty,kids_to_fifth,to_forty,female,2,7,Stuck
engaged,over_thirty,kids_to_twelfth,to_fifty,female,2,7,Stuck
engaged,twentyone_to_thirty,kids_none,to_fifty,male,2,7,Stuck
living_together,eleven_to_twenty,kids_none,to_fifty,female,2,7,Stuck
married,eleven_to_twenty,kids_none,to_thirty,male,2,7,Stuck
married,eleven_to_twenty,kids_to_fifth,to_fifty,female,2,7,Stuck
married,over_thirty,kids_none,to_fifty,male,2,7,Stuck
married,over_thirty,kids_to_twelfth,to_fifty,female,2,7,Stuck
married,three_to_five,kids_none,to_twentyfour,female,2,7,Stuck
married,three_to_five,kids_none,to_twentyfour,female,2,7,Stuck
married,twentyone_to_thirty,adult_children,to_fifty,male,2,7,Stuck
married,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,2,7,Stuck
married,twentyone_to_thirty,kids_to_twelfth,to_fifty,male,2,7,Stuck
remarried,over_thirty,kids_to_twelfth,to_fifty,male,2,7,Stuck
remarried,under_two,kids_under_five,to_thirty,female,2,7,Stuck
dating,eleven_to_twenty,kids_to_fifth,to_forty,male,2,8,Stuck
engaged,over_thirty,kids_to_fifth,to_fifty,male,2,8,Stuck
engaged,over_thirty,kids_under_five,to_sixty,female,2,8,Stuck
living_together,twentyone_to_thirty,kids_none,to_fifty,male,2,8,Stuck
married,eleven_to_twenty,kids_none,to_thirty,female,2,8,Stuck
married,eleven_to_twenty,kids_to_fifth,to_fifty,female,2,8,Stuck
married,eleven_to_twenty,kids_under_five,to_forty,male,2,8,Stuck
married,six_to_ten,kids_to_fifth,to_thirty,male,2,8,Stuck
married,twentyone_to_thirty,adult_children,to_seventy,male,2,8,Stuck
married,under_two,kids_none,to_thirty,male,2,8,Stuck
married,under_two,kids_none,to_twentyfour,male,2,8,Stuck
remarried,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,2,8,Stuck
dating,over_thirty,kids_under_five,to_fifty,male,2,9,Stuck
dating,under_two,kids_none,under_eighteen,male,2,9,Stuck
engaged,under_two,kids_none,under_eighteen,male,2,9,Stuck
engaged,under_two,kids_under_five,to_thirty,male,2,9,Stuck
married,eleven_to_twenty,kids_to_fifth,to_forty,male,2,9,Stuck
remarried,three_to_five,kids_to_fifth,to_thirty,male,2,9,Stuck
remarried,under_two,kids_to_fifth,to_forty,female,2,9,Stuck
dating,six_to_ten,kids_none,to_twentyfour,male,2,10,Estranged
engaged,over_thirty,adult_children,to_fifty,male,2,10,Estranged
married,over_thirty,kids_none,to_fifty,male,2,10,Estranged
married,over_thirty,kids_none,to_fifty,male,2,10,Estranged
married,over_thirty,kids_none,to_sixty,female,2,10,Estranged
married,three_to_five,kids_none,to_thirty,female,2,10,Estranged
married,twentyone_to_thirty,kids_none,to_fifty,female,2,10,Estranged
married,under_two,kids_under_five,to_thirty,female,2,10,Estranged
remarried,over_thirty,kids_none,to_fifty,female,2,10,Estranged
remarried,over_thirty,kids_none,to_sixty,male,2,10,Estranged
remarried,six_to_ten,kids_none,to_twentyfour,female,2,10,Estranged
living_together,twentyone_to_thirty,kids_to_twelfth,to_sixty,female,3,0,Broken
married,eleven_to_twenty,kids_to_fifth,to_fifty,female,3,0,Broken
married,over_thirty,kids_none,to_fifty,male,3,0,Broken
married,over_thirty,kids_to_twelfth,to_fifty,male,3,0,Broken
remarried,three_to_five,kids_to_fifth,to_forty,male,3,0,Broken
remarried,twentyone_to_thirty,adult_children,to_fifty,male,3,0,Broken
remarried,twentyone_to_thirty,kids_to_twelfth,to_fifty,female,3,0,Broken
dating,six_to_ten,kids_under_five,to_twentyfour,male,3,1,Frayed
living_together,eleven_to_twenty,kids_under_five,to_forty,female,3,1,Frayed
living_together,over_thirty,kids_to_twelfth,to_fifty,male,3,1,Frayed
living_together,twentyone_to_thirty,adult_children,to_fifty,male,3,1,Frayed
married,eleven_to_twenty,kids_under_five,to_forty,male,3,1,Frayed
married,over_thirty,kids_none,to_fifty,male,3,1,Frayed
married,three_to_five,kids_none,to_forty,female,3,1,Frayed
married,twentyone_to_thirty,adult_children,to_fifty,male,3,1,Frayed
married,twentyone_to_thirty,adult_children,to_seventy,male,3,1,Frayed
married,twentyone_to_thirty,kids_none,to_fifty,female,3,1,Frayed
married,under_two,kids_none,to_twentyfour,male,3,1,Frayed
remarried,eleven_to_twenty,kids_to_twelfth,to_forty,female,3,1,Frayed
remarried,under_two,kids_none,under_eighteen,male,3,1,Frayed
dating,eleven_to_twenty,kids_to_fifth,to_fifty,male,3,2,Frayed
dating,over_thirty,kids_none,to_fifty,female,3,2,Frayed
married,over_thirty,adult_children,to_sixty,female,3,2,Frayed
married,over_thirty,kids_to_fifth,to_fifty,female,3,2,Frayed
married,over_thirty,kids_to_twelfth,to_fifty,male,3,2,Frayed
