Relationship Status,Which describes you best?,How happy are you right now in your relationship?  (label),How happy are you right now in your relationship? ,"In the past few months, how frequently have you thought about ending the relationship?  (label)","In the past few months, how frequently have you thought about ending the relationship? ","These days, how do you feel when it comes to handling finances with your partner (spending, saving, managing, etc.)? (label)","These days, how do you feel when it comes to handling finances with your partner (spending, saving, managing, etc.)?","Over the past few months, how satisfied have you felt with your level of physical intimacy and affection? (label)","Over the past few months, how satisfied have you felt with your level of physical intimacy and affection?",How frequently do you confide in each other? (label),How frequently do you confide in each other?,"How frequently do you enjoy a shared, fun activity that you both enjoy together? (label)","How frequently do you enjoy a shared, fun activity that you both enjoy together?","These days, our conversations feel meaningful and engaging. (label)","These days, our conversations feel meaningful and engaging.",How much do you and your partner laugh together these days? (label),How much do you and your partner laugh together these days?,"These days, I feel like my partner and I understand each other deeply. (label)","These days, I feel like my partner and I understand each other deeply.",How often does your partner show love in ways that feel meaningful to you? (label),How often does your partner show love in ways that feel meaningful to you?,"Over the past few months, when I've needed support, my partner was there for me. (label)","Over the past few months, when I've needed support, my partner was there for me.","No matter how difficult it may get, I am completely committed to doing whatever it takes to make this relationship work. (label)","No matter how difficult it may get, I am completely committed to doing whatever it takes to make this relationship work.","In reviewing the past few months, I can point to specific actions and efforts that I’ve taken to make the relationship stronger. (label)","In reviewing the past few months, I can point to specific actions and efforts that I’ve taken to make the relationship stronger.","These days, I really look forward to conversations together to improve our relationship. (label)","These days, I really look forward to conversations together to improve our relationship.","Over the past few months, how often do you find yourself excited about planning or participating in activities that strengthen your relationship? (label)","Over the past few months, how often do you find yourself excited about planning or participating in activities that strengthen your relationship?","Over the past few months, how often have you initiated effort and creativity into making your relationship stronger? (label)","Over the past few months, how often have you initiated effort and creativity into making your relationship stronger?","Currently, how eager are you to discuss relationship challenges with your partner? (label)","Currently, how eager are you to discuss relationship challenges with your partner?","How open are you to exploring resources (e.g., books, workshops, apps, or counseling) to improve your relationship? (label)","How open are you to exploring resources (e.g., books, workshops, apps, or counseling) to improve your relationship?",Which word best describes the current state of your relationship? (label),Which word best describes the current state of your relationship?,How aligned do you currently feel with your partner when it comes to your faith and spiritual beliefs?,"Outside of your partner, how strong is your current support system for your relationship? (mentors, close friends, or a community that encourages your relationship)",Check the top 3 issues you’d like to improve:,Relationship Status:  (label),Relationship Status: ,Relationship Status: ,How long have you been together? ,Which best describes you right now? ,How would you describe your faith right now?,How often do you experience a deep sense of connection with God in your daily life?,How long have you been attending our church? ,Kids (check all that apply),Your Age,Gender,Church Slug,HeartChart URL,38-pt COMMITMENT,10-pt Commitment,,40-pt CONNECTION,10-pt Connection,Relationship STATE
In a Relationship,Disagree,Rarely happy,1,Quite a bit,0,Bit of a challenge,1,It’s a struggle,0,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Disagree,0,Slightly true for me,1,Never,0,Never,0,Never,0,Not at all eager,0,Not open at all,0,Shaky,0,Mostly aligned,Somewhat strong,"Communication, Financial Management as a Team, Romance/Sexual Fulfillment",Married,0,,21-30 years,I’m a Christian,I’ve been following Jesus for a long time,6,Over a year,I have adult children,51-60,Male,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,1,0,,1,1,Broken
In a Relationship,Disagree,Rarely happy,1,Quite a bit,0,Bit of a challenge,1,It’s a struggle,0,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Disagree,0,Slightly true for me,1,Never,0,Never,0,Never,0,Not at all eager,0,Not open at all,0,Shaky,0,Mostly aligned,Somewhat strong,"Communication, Financial Management as a Team, Romance/Sexual Fulfillment",Married,0,,21-30 years,I’m a Christian,I’ve been following Jesus for a long time,6,Over a year,I have adult children,51-60,Male,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,1,0,,1,1,Broken
In a Relationship,Disagree,Not happy at all,0,Quite a bit,0,Bit of a challenge,1,It’s a struggle,0,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Probably,2,Not at all true for me,0,Never,0,Never,0,Rarely,1,Not at all eager,0,Slightly open,1,Shaky,0,Not aligned,Somewhat strong,"Communication, Conflict Management, Spiritual Intimacy",Married,0,,6-10 years,I’m a Christian,I’ve been following Jesus for a long time,7,Over a year,"I have kids 0-5, I have kids K-5th grade",31-40,Male,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,4,1,,1,0,Broken
In a Relationship,Undecided,Not happy at all,0,Quite a bit,0,Wish it was better,2,It’s a struggle,0,"Hardly ever, if it all",0,Not often,1,Hardly ever,0,It’s pretty rare,1,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Not sure,1,Slightly true for me,1,Never,0,Never,0,Rarely,1,Not at all eager,0,Slightly open,1,Shaky,0,Somewhat aligned,Somewhat strong,"Communication, Conflict Management, Quality Time/Use of Free Time",Married,0,,21-30 years,I’m a Christian,I’ve been following Jesus for a long time,9,Over a year,"I have kids 6th-12th grade, I have adult children",41-50,Female,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,4,1,,4,1,Broken
In a Relationship,Disagree,Rarely happy,1,Quite a bit,0,It’s a struggle,0,It’s a struggle,0,"Hardly ever, if it all",0,Not often,1,Hardly ever,0,It’s pretty rare,1,We’re on different planets,0,"Not often, but it happens",1,Nope,0,Not sure,1,Slightly true for me,1,Never,0,Never,0,Never,0,Not at all eager,0,Somewhat open,2,Uneven,1,Barely aligned,Weak,"Communication, Conflict Management, Financial Management as a Team",Married,0,,21-30 years,I’m a Christian,I’ve been following Jesus for a long time,4,Over a year,I don't have kids,51-60,Female,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,5,1,,3,1,Broken
In a Relationship,Disagree,Not happy at all,0,Quite a bit,0,It’s a struggle,0,Unsatisfied,1,Once in a blue moon,1,Not often,1,Hardly ever,0,It’s pretty rare,1,We’re on different planets,0,"Hardly ever, if at all",0,Not really,1,Not sure,1,Not at all true for me,0,Never,0,Never,0,Never,0,Slightly eager,1,Slightly open,1,Shaky,0,Mostly aligned,Somewhat strong,"Conflict Management, Financial Management as a Team, Quality Time/Use of Free Time",Married,0,,0-2 years,I’m a Christian,I’ve been following Jesus for a long time,9,Over a year,I have adult children,41-50,Female,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,4,1,,5,1,Broken
In a Relationship,Disagree,Rarely happy,1,Quite a bit,0,Bit of a challenge,1,Unsatisfied,1,"Hardly ever, if it all",0,Not often,1,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Probably,2,Slightly true for me,1,Never,0,Never,0,Rarely,1,Not at all eager,0,Not open at all,0,Shaky,0,Mostly aligned,Somewhat strong,"Conflict Management, Romance/Sexual Fulfillment, Spiritual Intimacy",Married,0,,31-40 years,I’m a Christian,I’ve been following Jesus for a long time,10,Over a year,I have adult children,61-70,Male,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,4,1,,3,1,Broken
In a Relationship,Disagree,Rarely happy,1,Quite a bit,0,It’s a struggle,0,It’s a struggle,0,Once in a blue moon,1,It’s been ages,0,Not very often,1,It’s pretty rare,1,We’re on different planets,0,"Hardly ever, if at all",0,Not really,1,Disagree,0,Slightly true for me,1,Never,0,Rarely,1,Never,0,Not at all eager,0,Not open at all,0,Shaky,0,Not aligned,Weak,"Forgiveness, Spiritual Intimacy, Trust/Honesty",Married,0,,41+ years,I’m a Christian,I’m coming back to my faith after some time away,8,Over a year,I have adult children,61-70,Female,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,3,1,,4,1,Broken
In a Relationship,Disagree,Not happy at all,0,Quite a bit,0,It’s working well,3,It’s a struggle,0,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Not sure,1,Not at all true for me,0,Never,0,Never,0,Never,0,Not at all eager,0,Slightly open,1,Shaky,0,Not aligned,Weak,"Communication, Conflict Management, Trust/Honesty",Married,0,,31-40 years,I’m a Christian,I’ve been following Jesus for a long time,6,Over a year,I have adult children,51-60,Female,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,2,1,,3,1,Broken
In a Relationship,Disagree,Rarely happy,1,Quite a bit,0,It’s a struggle,0,Unsatisfied,1,Once in a blue moon,1,It’s been ages,0,Hardly ever,0,"Sometimes, when the mood is right",2,We’re on different planets,0,"Hardly ever, if at all",0,Not really,1,Not sure,1,Absolutely true for me,4,Rarely,1,Never,0,Often,3,Not at all eager,0,Not open at all,0,Uneven,1,Not aligned,Strong,"Communication, Quality Time/Use of Free Time, Trust/Honesty",Dating,2,,0-2 years,I’m a Christian,I’m new to following Jesus,7,Over a year,I don't have kids,18-24,Female,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,3,1,,5,1,Broken
In a Relationship,Disagree,Not happy at all,0,Quite a bit,0,It’s a struggle,0,Unsatisfied,1,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Not often, but it happens",1,Nope,0,Disagree,0,Not at all true for me,0,Never,0,Never,0,Rarely,1,Not at all eager,0,Slightly open,1,Shaky,0,Not aligned,Somewhat strong,"Conflict Management, Romance/Sexual Fulfillment, Spiritual Intimacy",Married,0,,3-5 years,I’m a Christian,I’m coming back to my faith after some time away,8,Over a year,I have kids K-5th grade,41-50,Female,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,2,1,,2,1,Broken
In a Relationship,Disagree,Not happy at all,0,Quite a bit,0,It’s working well,3,It’s a struggle,0,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Not really,1,Disagree,0,Slightly true for me,1,Never,0,Never,0,Never,0,Not at all eager,0,Not open at all,0,Shaky,0,Not aligned,Nonexistent,"Conflict Management, Quality Time/Use of Free Time, Spiritual Intimacy",Married,0,,6-10 years,I’m a Christian,I’m coming back to my faith after some time away,3,Over a year,I have adult children,51-60,Female,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,2,1,,4,1,Broken
In a Relationship,Disagree,Not happy at all,0,Quite a bit,0,It’s working well,3,It’s a struggle,0,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Not really,1,Disagree,0,Slightly true for me,1,Never,0,Never,0,Never,0,Not at all eager,0,Not open at all,0,Shaky,0,Not aligned,Nonexistent,"Conflict Management, Quality Time/Use of Free Time, Spiritual Intimacy",Married,0,,6-10 years,I’m a Christian,I’m coming back to my faith after some time away,3,Over a year,I have adult children,51-60,Female,church-of-the-highlands,https://dashboard.amfm.org/heart-chart/church-of-the-highlands/grandview/xlF0ck/,2,1,,4,1,Broken
In a Relationship,"Of course, I'm not perfect but I'm pretty good",Not happy at all,0,Quite a bit,0,Bit of a challenge,1,It’s a struggle,0,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Not sure,1,Not at all true for me,0,Never,0,Never,0,Never,0,Not at all eager,0,Not open at all,0,Shaky,0,Mostly aligned,Nonexistent,"Communication, Conflict Management, Trust/Honesty",Married,0,,31-40 years,I’m a Christian,I’ve been following Jesus for a long time,6,Over a year,I have adult children,61-70,Male,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,1,0,,1,0,Broken
In a Relationship,I'm working at it but certainly not perfect,Not happy at all,0,Quite a bit,0,It’s a struggle,0,It’s a struggle,0,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Disagree,0,Somewhat true for me,2,Never,0,Never,0,Never,0,Not at all eager,0,Not open at all,0,Shaky,0,Not aligned,Somewhat strong,"Conflict Management, Forgiveness, Trust/Honesty",Married,0,,31-40 years,I’m a Christian,I’ve been following Jesus for a long time,8,Over a year,I don't have kids,61-70,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,2,1,,0,0,Broken
In a Relationship,I'm working at it but certainly not perfect,Not happy at all,0,Quite a bit,0,It’s a struggle,0,Very satisfied,3,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Disagree,0,Somewhat true for me,2,Never,0,Never,0,Never,0,Not at all eager,0,Not open at all,0,Shaky,0,Not aligned,Somewhat strong,Forgiveness,Married,0,,31-40 years,I’m a Christian,I’ve been following Jesus for a long time,8,Over a year,I don't have kids,61-70,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,2,1,,3,1,Broken
In a Relationship,I'm working at it but certainly not perfect,Rarely happy,1,Quite a bit,0,Wish it was better,2,Unsatisfied,1,"Hardly ever, if it all",0,Not often,1,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Not sure,1,Not at all true for me,0,Rarely,1,Never,0,Never,0,Slightly eager,1,Slightly open,1,Shaky,0,Barely aligned,Strong,"Communication, Forgiveness",Married,0,,41+ years,I’m a Christian,I’ve been following Jesus for a long time,10,Over a year,I have adult children,71,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,4,1,,4,1,Broken
In a Relationship,I'm working at it but certainly not perfect,Not happy at all,0,Quite a bit,0,Wish it was better,2,It’s a struggle,0,Once in a blue moon,1,It’s been ages,0,Hardly ever,0,It’s pretty rare,1,We’re on different planets,0,"Hardly ever, if at all",0,"Sometimes, I guess",2,Not sure,1,Slightly true for me,1,Never,0,Never,0,Never,0,Not at all eager,0,Not open at all,0,Shaky,0,Not aligned,Somewhat strong,"Communication, Conflict Management, Forgiveness",Married,0,,11-20 years,I’m a Christian,I’m coming back to my faith after some time away,5,Over a year,"I have kids 0-5, I have kids K-5th grade, I have kids 6th-12th grade",41-50,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,4,1,,6,1,Broken
In a Relationship,I'm working at it but certainly not perfect,Not happy at all,0,Quite a bit,0,Wish it was better,2,It’s a struggle,0,Once in a blue moon,1,It’s been ages,0,Hardly ever,0,It’s pretty rare,1,We’re on different planets,0,"Hardly ever, if at all",0,"Sometimes, I guess",2,Not sure,1,Not at all true for me,0,Never,0,Never,0,Never,0,Not at all eager,0,Slightly open,1,Shaky,0,Barely aligned,Weak,"Communication, Conflict Management, Forgiveness",Married,0,,11-20 years,I’m a Christian,I’m coming back to my faith after some time away,5,Over a year,"I have kids 0-5, I have kids K-5th grade, I have kids 6th-12th grade",41-50,Female,eagle-christian-church,https://dashboard.amfm.org/heart-chart/eagle-christian-church/central-valley/fS7HbG/,4,1,,6,1,Broken
In a Relationship,"Of course, I'm not perfect but I'm pretty good",Not happy at all,0,Quite a bit,0,It’s a struggle,0,It’s a struggle,0,Often,2,Not often,1,Hardly ever,0,We don’t laugh together,0,It’s a struggle sometimes,1,"Hardly ever, if at all",0,"Sometimes, I guess",2,Disagree,0,Slightly true for me,1,Never,0,Never,0,Sometimes,2,Slightly eager,1,Not open at all,0,Shaky,0,Not aligned,Weak,"Communication, Conflict Management, Financial Management as a Team",Living together (not married),2.01,,3-5 years,,,,,I don't have kids,18-24,Female,heartchart,https://dashboard.amfm.org/heart-chart/heartchart/pursuit052225/,-2,-1,,6,1,Broken
In a Relationship,I'm working at it but certainly not perfect,Not happy at all,0,Quite a bit,0,It’s a struggle,0,It’s a struggle,0,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Disagree,0,Not at all true for me,0,Never,0,Never,0,Never,0,Not at all eager,0,Not open at all,0,Shaky,0,Completely aligned,Somewhat strong,"Romance/Sexual Fulfillment, Serving/Encouraging Each Other, Spiritual Intimacy",Married,0,,21-30 years,I’m a Christian,I’m new to following Jesus,8,Less than a month,I have kids 6th-12th grade,51-60,Female,venture-church,https://dashboard.amfm.org/heart-chart/venture-church/mill-creek/8DLCUO/,0,0,,0,0,Broken
In a Relationship,I'm working at it but certainly not perfect,Not happy at all,0,Quite a bit,0,It’s a struggle,0,It’s a struggle,0,"Hardly ever, if it all",0,It’s been ages,0,Hardly ever,0,We don’t laugh together,0,We’re on different planets,0,"Hardly ever, if at all",0,Nope,0,Disagree,0,Not at all true for me,0,Never,0,Never,0,Never,0,Not at all eager,0,Not open at all,0,Shaky,0,Not aligned,Strong,"Conflict Management, Quality Time/Use of Free Time, Spiritual Intimacy",Married,0,,21-30 years,I’m a Christian,I’m coming back to my faith after some time away,6,Over a year,"I have kids 6th-12th grade, I have adult children",41-50,Male,venture-church,https://dashboard.amfm.org/heart-chart/venture-church/mill-creek/8DLCUO/,0,0,,0,0,Broken
