NAME,MONTH,CITY,STATE,ZIP_CODE,MESSAGE_COUNT
FBC Breckenridge,2024-10-01 00:00:00.000 Z,Breckenridge,TX,76424,7877
Sunset Church,2024-05-01 00:00:00.000 Z,Portland,OR,97229,9537
Rutherford Bible Chapel,2024-06-01 00:00:00.000 Z,Rutherford,NJ,07070,192
Rutherford Bible Chapel,2024-11-01 00:00:00.000 Z,Rutherford,NJ,07070,170
On-line Christian Counseling with Ms. Debbie,2023-06-01 00:00:00.000 Z,Fort Worth,TX,76123,515
REVIVE Chapel,2024-05-01 00:00:00.000 Z,Brooklyn,OH,44144,162
The Apostles House,2022-09-01 00:00:00.000 Z,Hartford,CT,06114,27
New Season ,2024-07-01 00:00:00.000 Z,Baton Rouge,LA,70816,1286
St. John's Lutheran Church,2024-06-01 00:00:00.000 Z,Bakersfield,CA,93311,250
Oceanside Church,2022-09-01 00:00:00.000 Z,Boca Raton,FL,33434-2836,5085
Mount Olive Church,2024-05-01 00:00:00.000 Z,Milpitas,CA,95035,42
First Baptist Church,2024-11-01 00:00:00.000 Z,Cambridge,MN,55008,4117
Arlington Heights United Methodist Church,2022-10-01 00:00:00.000 Z,Fort Worth,TX,76107,22
Centerpoint Church,2023-10-01 00:00:00.000 Z,Kalamazoo,MI,49009-9185,96
Local Church Forsyth,2022-12-01 00:00:00.000 Z,Cumming,GA,30040,71
New Door Church ,2024-01-01 00:00:00.000 Z,Cleveland,OH,44112,8
Elizabeth Lann,2024-08-01 00:00:00.000 Z,Oneonta,AL,35121,41
Resurrection Episcopal Church,2023-10-01 00:00:00.000 Z,Largo,FL,33778,6
NewPath Church ,2024-05-01 00:00:00.000 Z,White House,TN,37188,10
LCBC Ephrata,2023-07-01 00:00:00.000 Z,Ephrata,PA,17522,96
Participate Christian Fellowship ,2024-05-01 00:00:00.000 Z,Overland Park,KS,66213,47
Cornerstone Church NYC,2023-06-01 00:00:00.000 Z,Elmhurst,NY,11373,4
Icon Church,2022-07-01 00:00:00.000 Z,Seattle,WA,98144,43
U.S. BANK,2024-04-01 00:00:00.000 Z,New Port Richey,FL,34653,1
VCP Church English,2024-12-01 00:00:00.000 Z,Houston,TX,77088,107
CityLight Vineyard Church,2022-06-01 00:00:00.000 Z,Newark,DE,19711,13
Mount Olive Church,2024-12-01 00:00:00.000 Z,Milpitas,CA,95035,4
Big Creek MB Church,2024-02-01 00:00:00.000 Z,Jackson,MS,39212,4
McIlwain Presbyterian Church,2023-12-01 00:00:00.000 Z,Pensacola,FL,32503,5
The First Church,2025-02-01 00:00:00.000 Z,Goldsboro,NC,27534,52
Hope To You Community Church and Church of the Redeemer,2024-05-01 00:00:00.000 Z,Bowie,MD,20715,24
Davis Ministry Group,2022-09-01 00:00:00.000 Z,Charlotte,NC,28278,1640
Christway Church ,2025-01-01 00:00:00.000 Z,Godfrey,IL,62035,215
Seacoast Community Church,2022-10-01 00:00:00.000 Z,Encinitas,CA,,90
St.  John AME Zion Church ,2023-11-01 00:00:00.000 Z,Bardstown,KY,40004,111
Florida Multicultural District,2024-11-01 00:00:00.000 Z,Orlando,FL,32824-8809,33377
Seacoast Community Church,2022-01-01 00:00:00.000 Z,Encinitas,CA,,56
A Soul Tribe for You,2022-11-01 00:00:00.000 Z,Schertz,TX,78108,25
VCP Church English,2024-01-01 00:00:00.000 Z,Houston,TX,77088,1144
Holy Life Church,2024-05-01 00:00:00.000 Z,Hanover,NJ,07927,228
New Life Church,2024-10-01 00:00:00.000 Z,Huntington,WV,25713,1465
Holy Life Church,2024-08-01 00:00:00.000 Z,Hanover,NJ,07927,1090
New Season ,2024-08-01 00:00:00.000 Z,Baton Rouge,LA,70816,258
Grace Brethren Church,2024-01-01 00:00:00.000 Z,Colorado Springs,CO,80916,170
Love Has No Limits,2021-12-01 00:00:00.000 Z,Dana Point,CA,92629,133
Next Steps,2023-07-01 00:00:00.000 Z,Trujillo Alto,PR,00976,273
First Baptist Church,2024-08-01 00:00:00.000 Z,Iraan,TX,79744,418
Grace Community ,2023-09-01 00:00:00.000 Z,Lake Villa,IL,60046,11
The Paradox Church,2022-04-01 00:00:00.000 Z,Fort Worth,TX,76102,203
Southwood Lodge Baptist Church ,2022-12-01 00:00:00.000 Z,Natchez,MS,39120,4
Christway Church ,2023-07-01 00:00:00.000 Z,Godfrey,IL,62035,197
Taylor Chapel CME,2024-09-01 00:00:00.000 Z,Vallejo,CA,94590,155
UFBCM,2024-04-01 00:00:00.000 Z,Gainesville,FL,32603,518
Celebration Church,2024-01-01 00:00:00.000 Z,Puyallup,WA,98373,4451
Logan Chapel CME Church,2024-11-01 00:00:00.000 Z,Charlotte,NC,28229,62
South Charlotte Baptist Church,2023-04-01 00:00:00.000 Z,Pineville,NC,28134,2
Sunset Church,2025-01-01 00:00:00.000 Z,Portland,OR,97229,9445
Zion Church,2025-01-01 00:00:00.000 Z,Greenbelt,MD,20770,6
CF Kids,2025-01-01 00:00:00.000 Z,Livermore,CA,94551,303
Welcome Wesleyan Church,2025-01-01 00:00:00.000 Z,Seneca,SC,29672,56
Arlington Heights United Methodist Church,2022-12-01 00:00:00.000 Z,Fort Worth,TX,76107,21
Celita Eden,2023-07-01 00:00:00.000 Z,Berea,KY,40403,4
First Baptist Church Hartselle,2024-01-01 00:00:00.000 Z,Hartselle,AL,35640,75
Kay Branch,2024-10-01 00:00:00.000 Z,Hartsville,SC,29550,3
Living Faith Christian Church,2023-08-01 00:00:00.000 Z,Farmingdale,NY,11735,6
BETHESDA LUTHERAN BRETHREN CHR,2022-07-01 00:00:00.000 Z,Eau Claire,WI,54701-6916,6
Heaven’s Harvest Church,2025-01-01 00:00:00.000 Z,Gretna,LA,70056,1067
Next Ministries,2021-12-01 00:00:00.000 Z,Chicago,IL,60616-2001,2524
Daughters of Zion,2023-12-01 00:00:00.000 Z,Chattanooga,TN,37406,9
Multiply Church,2023-12-01 00:00:00.000 Z,Mooresville,NC,28115,24
Adult Ministries at St. Charles/South Elgin,2024-12-01 00:00:00.000 Z,South Elgin,IL,60177,1049
Bogata Community Church ,2023-09-01 00:00:00.000 Z,Bogata,TX,75417,268
Crystal Sherie Worldwide ,2024-04-01 00:00:00.000 Z,Miami Beach,FL,33139,24
Cridersville Nazarene,2024-10-01 00:00:00.000 Z,Lima,OH,45806,1
Western Hills United Methodist Church,2023-02-01 00:00:00.000 Z,Fort Worth,TX,76116,8
Lets Talk Consulting,2022-12-01 00:00:00.000 Z,Russellville,AR,72801,5
St. Mark's UMC,2025-01-01 00:00:00.000 Z,Tucson,AZ,85704,568
The Christian Methodist Episcopal Church,2025-01-01 00:00:00.000 Z,Tacoma,WA,98466,19789
Little mount zion,2023-11-01 00:00:00.000 Z,Belzoni,MS,39038,43
Potential Church,2024-10-01 00:00:00.000 Z,Fort Lauderdale,FL,33325,108578
Refuge Temple of Deliverance Ministries,2023-11-01 00:00:00.000 Z,Louisburg,NC,27549,693
Clinton County Hopeline,2021-12-01 00:00:00.000 Z,West Chester,OH,45069,58
St John Missionanry Baptist Church,2023-08-01 00:00:00.000 Z,Bakersfield,CA,93307-3567,2944
King’s Way Church - Alaska,2023-06-01 00:00:00.000 Z,Eagle River,AK,99577,74
88.3 The Journey,2024-07-01 00:00:00.000 Z,Keene,TX,76059,9300
Freedom Church,2022-06-01 00:00:00.000 Z,Auburn ,CA,,489
Love Fellowship Church ,2023-12-01 00:00:00.000 Z,Topeka,KS,66605,656
Harvest of Hope,2023-07-01 00:00:00.000 Z,Saint Petersburg,FL,33714,31
Good Shepherd Lutheran Church,2024-08-01 00:00:00.000 Z,Berwick,PA,18603,7148
Freedom Church,2023-11-01 00:00:00.000 Z,Auburn ,CA,,1501
Grace Bible Church,2022-09-01 00:00:00.000 Z,North Haledon,NJ,07508,39
Mount  Moriah M.B.Church,2024-04-01 00:00:00.000 Z,Plant City,FL,33563,1745
CC Special Events,2024-11-01 00:00:00.000 Z,Rockaway Township,NJ,07866,13729
Grace Church,2024-06-01 00:00:00.000 Z,Reading,PA,19607,4987
"There's More Ministries, Inc.",2024-07-01 00:00:00.000 Z,Champaign,IL,61822,107
Family Ties Generations,2024-07-01 00:00:00.000 Z,El Dorado Hills,CA,95762,723
Purpose Church,2023-08-01 00:00:00.000 Z,Goodyear,AZ,85338,206
First Presbyterian Church of Evanston,2023-02-01 00:00:00.000 Z,Evanston,IL,60201,49
Our HCSO,2023-06-01 00:00:00.000 Z,Cleveland,TN,37320,57
24:six Student Ministry,2024-09-01 00:00:00.000 Z,Joshua,TX,76058,748
Center Belle Baptist Church,2024-10-01 00:00:00.000 Z,Allardt,TN,38504,1042
St. Mark's UMC,2024-08-01 00:00:00.000 Z,Tucson,AZ,85704,499
Friendship Students,2024-07-01 00:00:00.000 Z,Marshall,TX,75672,424
The Church at Newtown Road,2023-06-01 00:00:00.000 Z,Waterford,NY,12188,264
Pine Grove Pentecostal Church,2024-03-01 00:00:00.000 Z,Summit,MS,39666,420
White Rock Missionary Baptist Church,2024-12-01 00:00:00.000 Z,Buffalo,NY,14208,495
TheLifeCommunity.Church,2024-01-01 00:00:00.000 Z,Lawton,OK,73505,50
New Beginnings Baptist Church,2024-03-01 00:00:00.000 Z,,,,27695
Living Waters Fellowship Church,2023-03-01 00:00:00.000 Z,Windsor Locks,CT,06096,154
Good Shepherd Lutheran Church,2024-11-01 00:00:00.000 Z,Berwick,PA,18603,1100
Kingsport First Assembly ,2024-05-01 00:00:00.000 Z,Kingsport,TN,37660,32
Center Belle Baptist Church,2024-05-01 00:00:00.000 Z,Allardt,TN,38504,495
Grace Bible Church,2022-05-01 00:00:00.000 Z,North Haledon,NJ,07508,69
FBCB,2024-04-01 00:00:00.000 Z,Bronxville,NY,10708,1972
Sheridan Church of the Nazarene,2024-02-01 00:00:00.000 Z,Sheridan,OR,97378,270
ASCEND Student Ministry,2024-10-01 00:00:00.000 Z,Brooksville,FL,34601,8677
Fairland Christian Church,2024-12-01 00:00:00.000 Z,Niles,MI,49120,479
Taylorville Baptist Church,2023-10-01 00:00:00.000 Z,Tuscaloosa,AL,35405,790
Pastors in the Outdoors,2024-10-01 00:00:00.000 Z,Mount Vernon,KY,40456,2074
Rock Island Bible Church,2023-11-01 00:00:00.000 Z,Rock Island,IL,61201,347
White Rock Missionary Baptist Church,2023-09-01 00:00:00.000 Z,Buffalo,NY,14208,138
Encounter Youth,2024-04-01 00:00:00.000 Z,Salinas,CA,93906,3847
New Beginnings Assembly of God,2023-01-01 00:00:00.000 Z,Jackson,MI,49202,310
Millcreek baptist church ,2023-09-01 00:00:00.000 Z,Philadelphia,PA,19104,7
Family Ties Generations,2024-08-01 00:00:00.000 Z,El Dorado Hills,CA,95762,849
Gresham Bible Church,2024-05-01 00:00:00.000 Z,Gresham,OR,97030,136
Henderson One Life Church,2022-07-01 00:00:00.000 Z,Henderson,KY,42420,7
ACTIVO,2023-07-01 00:00:00.000 Z,New York,NY,10033,350
Concordia Church and School,2024-09-01 00:00:00.000 Z,Chula Vista,CA,91915-2039,46
Generation Church - Fountain Hills,2023-08-01 00:00:00.000 Z,Fountain Hills,AZ,85268,17
Beaverton Baptist Church,2024-12-01 00:00:00.000 Z,Beaverton,MI,48612,643
Purpose Church,2023-01-01 00:00:00.000 Z,Goodyear,AZ,85338,12
Reveal Fellowship,2023-09-01 00:00:00.000 Z,Lake Worth,FL,33467,215
Family Ties Generations,2024-10-01 00:00:00.000 Z,El Dorado Hills,CA,95762,239
First United Methodist Church Clinton,2022-03-01 00:00:00.000 Z,Clinton,MS,39056,5
Pastors in the Outdoors,2024-05-01 00:00:00.000 Z,Mount Vernon,KY,40456,2360
Good Shepherd Lutheran Church,2024-07-01 00:00:00.000 Z,Berwick,PA,18603,3855
The Christian Methodist Episcopal Church,2024-11-01 00:00:00.000 Z,Tacoma,WA,98466,6187
ZoeEM,2024-09-01 00:00:00.000 Z,Renton,WA,98056,2
Northport Baptist Church,2021-09-01 00:00:00.000 Z,Northport,AL,35476,161
Transformers Youth Ministry,2024-10-01 00:00:00.000 Z,Lancaster,CA,93534,213
Kingsport First Assembly ,2024-10-01 00:00:00.000 Z,Kingsport,TN,37660,8
Candace Lightfoot,2023-07-01 00:00:00.000 Z,Fresno,CA,93705,15
Taylorville Baptist Church,2024-10-01 00:00:00.000 Z,Tuscaloosa,AL,35405,951
Green River Alliance Church,2023-12-01 00:00:00.000 Z,Green River,WY,82935,40
Church of Jesus Christ of Latter Day Saints,2024-09-01 00:00:00.000 Z,Lehi,UT,84043,3
CREE,2024-05-01 00:00:00.000 Z,Pinellas Park,FL,33781,4
Carolina Christian Youth Conference ,2024-10-01 00:00:00.000 Z,Rural Hall,NC,27045,94
Cornerstone Methodist Church,2023-11-01 00:00:00.000 Z,Houston,TX,77095,4
Westside Baptist Church,2024-09-01 00:00:00.000 Z,Jacksonville,FL,32210,326
Westside Baptist Church,2024-02-01 00:00:00.000 Z,Jacksonville,FL,32210,978
CEDAR MILL BIBLE CHURCH,2024-01-01 00:00:00.000 Z,Portland,OR,97229,54
Redemption Orlando,2022-04-01 00:00:00.000 Z,Orlando,FL,32806,4
Woodburn Baptist Church,2022-06-01 00:00:00.000 Z,Woodburn,KY,42170,6
Clyde's Chapel Baptist Church,2025-02-01 00:00:00.000 Z,Wendell,NC,27591,142
Denton Christian Church,2025-02-01 00:00:00.000 Z,Denton,MD,21629,347
Lighthouse Church,2025-02-01 00:00:00.000 Z,Joshua Tree,CA,92252,2175
Columbia Crossroads Church,2023-09-01 00:00:00.000 Z,Columbia,SC,29201,8
Anointed Rock Church,2024-10-01 00:00:00.000 Z,Arlington,TX,76006,30
Amazing Grace Fellowship ,2023-08-01 00:00:00.000 Z,Francesville,IN,47946,2117
Journey Church,2023-01-01 00:00:00.000 Z,Pineville,LA,71360,9
New Testament Christian Church of Glendale Az,2024-02-01 00:00:00.000 Z,Glendale,AZ,85301,2
Gambrell Street Baptist Church,2023-01-01 00:00:00.000 Z,Fort Worth,TX,76115,10
Christ Temple Church Ministries,2024-08-01 00:00:00.000 Z,Newark,NJ,07103,30
Harmony Baptist Church,2022-01-01 00:00:00.000 Z,Caldwell,TX,,2
LightHouse,2024-06-01 00:00:00.000 Z,Hayes,VA,23072,15084
Clyde's Chapel Baptist Church,2024-03-01 00:00:00.000 Z,Wendell,NC,27591,787
First Baptist Church of Shady Acres ,2024-08-01 00:00:00.000 Z,Brazoria,TX,77422,963
Dream City Foundation,2023-09-01 00:00:00.000 Z,Phoenix,AZ,85022,46
First Presbyterian Church of Evanston,2023-03-01 00:00:00.000 Z,Evanston,IL,60201,56
Carpenter's Way,2024-01-01 00:00:00.000 Z,Groves,TX,77619,792
Plant City Church of God,2023-03-01 00:00:00.000 Z,Plant City,FL,33566,43
The Tabernacle Okeechobee ,2024-08-01 00:00:00.000 Z,Okeechobee,FL,34972,341
Yes Lord ,2023-10-01 00:00:00.000 Z,Amarillo,TX,79118,135
CrossWay Community Church,2022-12-01 00:00:00.000 Z,Orlando,FL,32828,35
TheLifeCommunity.Church,2022-07-01 00:00:00.000 Z,Lawton,OK,73505,72
Refresh Life Church,2023-08-01 00:00:00.000 Z,Macon,GA,31211,11
Marriages Built Different,2024-10-01 00:00:00.000 Z,Lynchburg,VA,24502,175
High Street Community Church,2022-07-01 00:00:00.000 Z,Santa Cruz,CA,95060,3
New Living Worship Center ,2024-12-01 00:00:00.000 Z,Elizabeth City,NC,27909,1
New Life Assembly,2025-02-01 00:00:00.000 Z,Collinsville,OK,74021,701
First Baptist Church of Kennedy Heights,2025-02-01 00:00:00.000 Z,Cincinnati,OH,45213,271
TRF Women,2025-01-01 00:00:00.000 Z,Medford,OR,97501,1108
God's House,2025-01-01 00:00:00.000 Z,Providence,RI,02907,829
Shoreline Young Adults,2025-01-01 00:00:00.000 Z,Austin,TX,78728,2858
New Hope Church of the Nazarene,2025-01-01 00:00:00.000 Z,Princeton,IL,61356,10983
FiveTwo Network,2025-01-01 00:00:00.000 Z,Thornton,CO,80602,73
Kingdom Life Fellowship of the Palm Beaches,2025-01-01 00:00:00.000 Z,Riviera Beach,FL,33404,1065
Joshua & Margie Boswell - Jonesboro Ward,2025-01-01 00:00:00.000 Z,Jonesboro,AR,72401,2968
Apostolic Tabernacle of the Felicianas ,2023-07-01 00:00:00.000 Z,Jackson,LA,70748,2895
Hope Hub,2024-02-01 00:00:00.000 Z,Atlanta,GA,30319,4801
Greater Faith Grace Bible Church,2023-08-01 00:00:00.000 Z,Rialto,CA,92377,45854
Dunn's Grove Baptist Church,2024-06-01 00:00:00.000 Z,Albemarle,NC,28001,87
Gateway Christian Church,2024-03-01 00:00:00.000 Z,Clarksville,TN,37043,515
Loretto Methodist Church,2023-10-01 00:00:00.000 Z,Loretto,TN,38469,3006
Mimosa Ct. Community Builders,2023-07-01 00:00:00.000 Z,Gardner,KS,66030,17
Canyon Creek Baptist Church,2022-02-01 00:00:00.000 Z,Temple,TX,76502,181
Prayer at the Heart,2023-06-01 00:00:00.000 Z,Westlake,OH,44145,266
Spring Hills Church,2024-05-01 00:00:00.000 Z,Granville,OH,43023,52736
The Lakes Youth,2024-08-01 00:00:00.000 Z,Waterford,MI,48327,610
Valley Christian Center Susanville,2024-08-01 00:00:00.000 Z,Susanville,CA,96130,1533
Spring Hills Church,2024-10-01 00:00:00.000 Z,Granville,OH,43023,4390
Apostolic Tabernacle of the Felicianas ,2024-11-01 00:00:00.000 Z,Jackson,LA,70748,2297
New Life Christian Church,2022-12-01 00:00:00.000 Z,Chantilly,VA,20151,3982
Reflection Church Orlando,2024-08-01 00:00:00.000 Z,Orlando,FL,32807,5688
Life Changers Church,2025-01-01 00:00:00.000 Z,Austin,TX,78757,4420
Anchor Church,2023-12-01 00:00:00.000 Z,Boynton Beach,FL,33436,10169
Three Creeks Church,2024-01-01 00:00:00.000 Z,Columbus,OH,43230,4152
Greater Faith Grace Bible Church,2022-01-01 00:00:00.000 Z,Rialto,CA,92377,1019
New Life Christian Church,2023-12-01 00:00:00.000 Z,Chantilly,VA,20151,52776
The GiftOutreach Ministry,2024-07-01 00:00:00.000 Z,Baltimore,MD,21212,443
Brown Deer Baptist Church,2023-04-01 00:00:00.000 Z,Brown Deer,WI,53223,22
Life Changers Church,2024-03-01 00:00:00.000 Z,Austin,TX,78757,13488
Calvary Church,2024-02-01 00:00:00.000 Z,Bentonville,AR,72712,22375
Anchor Church,2022-06-01 00:00:00.000 Z,Boynton Beach,FL,33436,2223
Iglesia Ciudad de Gracia,2023-12-01 00:00:00.000 Z,Chicago,IL,60609,829
New St. Luke M. B. Church Dundee,2024-10-01 00:00:00.000 Z,Dundee,FL,33838,2285
"National Coalition of 100 Black Women, Inc. Fort Worth Metropolitan Chapter",2023-08-01 00:00:00.000 Z,Fort Worth,TX,76135,928
Rock Sink Baptist Church,2024-11-01 00:00:00.000 Z,Old Town,FL,32680,260
Greater Praise and Deliverance Tabernacle COGIC,2024-12-01 00:00:00.000 Z,Capitol Heights,MD,20743,1586
DREAM CENTER ESPERANZA,2023-07-01 00:00:00.000 Z,ARECIBO,PR,00612,1702
ZION TEMPLE COMMUNITY CHURCH,2024-07-01 00:00:00.000 Z,Los Angeles,CA,90011,1517
"New Bridge, Inc. ",2024-04-01 00:00:00.000 Z,Cleveland,OH,44115,505
Fairfield Church of Christ ,2024-01-01 00:00:00.000 Z,Fairfield,TX,75840,11
Zion Hill Missionary Baptist Church,2024-10-01 00:00:00.000 Z,Indianapolis,IN,46218,21270
Faith Lutheran Church,2024-02-01 00:00:00.000 Z,Hastings,NE,68901,720
Barnwell First Baptist Church,2024-09-01 00:00:00.000 Z,Barnwell,SC,29812,6766
Bethel AME Zion Church ,2024-05-01 00:00:00.000 Z,Kannapolis,NC,28083,167
Rosalee - Mission Church ,2025-01-01 00:00:00.000 Z,Ventura,CA,93003,1332
Bais Menachem Chabad,2025-01-01 00:00:00.000 Z,Tampa,FL,33606,600
Avalon Worship,2025-01-01 00:00:00.000 Z,Chattanooga,TN,37411,2
New Bethel Baptist Church,2024-03-01 00:00:00.000 Z,Evansville,IN,47712,902
Jeff Blanton,2023-05-01 00:00:00.000 Z,Los Angeles,CA,90026,141
GSS GEORGIA,2024-12-01 00:00:00.000 Z,Dacula,GA,30019,265
SHEKINAH GLORY FELLOWSHIP CENTER,2022-02-01 00:00:00.000 Z,Fayetteville,GA,,49
South Freeport Congregational Church,2023-05-01 00:00:00.000 Z,South Freeport,ME,04078,31
"The Bridge Church, Niagara Falls",2024-09-01 00:00:00.000 Z,Niagara Falls,NY,14304,201
Reflection Church Orlando,2024-02-01 00:00:00.000 Z,Orlando,FL,32807,4101
Hope Alive Ministry ,2024-02-01 00:00:00.000 Z,Midland,GA,31820,54
Rosalee - Mission Church ,2024-02-01 00:00:00.000 Z,Ventura,CA,93003,1088
Felipe Perez,2023-09-01 00:00:00.000 Z,Burke,VA,22015,7
Iglesia Ciudad de Gracia,2024-01-01 00:00:00.000 Z,Chicago,IL,60609,523
Be Still Women's Retreat ,2024-04-01 00:00:00.000 Z,Nampa,ID,83687,1683
Second Macedonia Baptist Church,2023-09-01 00:00:00.000 Z,Philadelphia,PA,19141,20
Oakwood Community Church,2024-10-01 00:00:00.000 Z,Tampa,FL,33618,95
Southeast Community Church,2023-10-01 00:00:00.000 Z,Kingsland,GA,31548,454
Torrey Pines Church ,2022-11-01 00:00:00.000 Z,La Jolla,CA,92037,11
Kingdom Worship Center,2023-12-01 00:00:00.000 Z,Germantown,OH,45327,153
Cornerstone Church,2023-09-01 00:00:00.000 Z,Litchfield,MN,55355,19
Mimosa Ct. Community Builders,2023-08-01 00:00:00.000 Z,Gardner,KS,66030,56
Greater Faith Fellowship ,2023-10-01 00:00:00.000 Z,Eden,NC,27288,4
"First Methodist Church Dumas, TX",2024-02-01 00:00:00.000 Z,Quanah,TX,79252,228
Made for Mas,2024-06-01 00:00:00.000 Z,Allentown,PA,18102,4
Hebron Baptist Association,2022-05-01 00:00:00.000 Z,Bowman,GA,30624,3
Journey Church,2024-04-01 00:00:00.000 Z,La Porte,IN,46350,30
Word & Spirit Church,2023-11-01 00:00:00.000 Z,Soddy Daisy,TN,37379,9
Journey Church Livonia,2024-12-01 00:00:00.000 Z,Livonia,MI,48154,146
Hilltop Church,2024-01-01 00:00:00.000 Z,Northville,MI,48167,2
Community Bible Church,2024-01-01 00:00:00.000 Z,Odessa,TX,79762,2
GSS GEORGIA,2025-02-01 00:00:00.000 Z,Dacula,GA,30019,83
Journey Church,2025-02-01 00:00:00.000 Z,La Porte,IN,46350,51
Compassion Church McEwen ,2024-09-01 00:00:00.000 Z,Mc Ewen,TN,37101,2
Nikao Center,2023-02-01 00:00:00.000 Z,Brookings,SD,57006,18
New Greater Peace MBC,2023-08-01 00:00:00.000 Z,Los Angeles,CA,90045,6
New Life Christian Church,2024-06-01 00:00:00.000 Z,Chantilly,VA,20151,4
MissionView Church,2023-11-01 00:00:00.000 Z,North Canton,OH,44720,2
RCCG New Covenant Chapel,2023-08-01 00:00:00.000 Z,Green Lane,PA,18054,9
The Salvation Army Montclair Citadel,2024-10-01 00:00:00.000 Z,Montclair,NJ,07042,1054
New Found Life Kingdom Church,2024-02-01 00:00:00.000 Z,Bronx,NY,10469,14
Sinai Christian ,2023-05-01 00:00:00.000 Z,Chicago,IL,60626,7
Ben Cone III & Worship,2024-07-01 00:00:00.000 Z,Jackson,MS,39206,1
Iglesia Ciudad de Gracia,2025-02-01 00:00:00.000 Z,Chicago,IL,60609,75
Ecclesia Ministries Worship Center,2025-02-01 00:00:00.000 Z,Brooklyn,NY,11212,71
Mount Zion Baptist Church Holmesburg,2025-01-01 00:00:00.000 Z,Philadelphia,PA,19136,11
Calimesa Worship Center,2023-08-01 00:00:00.000 Z,Calimesa,CA,92320,157
Influence International Church,2023-03-01 00:00:00.000 Z,Garland,TX,75040-8007,1135
Iglesia Ciudad de Gracia,2024-03-01 00:00:00.000 Z,Chicago,IL,60609,817
NEW HOPE COMMUNITY CHURCH,2023-01-01 00:00:00.000 Z,Chula Vista,CA,91915-6009,35
Cat's Club,2023-12-01 00:00:00.000 Z,Blue Springs,MO,64015,2115
Pentecostals of Lodi ,2025-01-01 00:00:00.000 Z,Acampo,CA,95220,4
Compassion Church McEwen ,2024-07-01 00:00:00.000 Z,Mc Ewen,TN,37101,8
Engedi Church,2023-12-01 00:00:00.000 Z,Holland,MI,49423,372
Woodburn Missionary Church,2023-08-01 00:00:00.000 Z,Woodburn,IN,46797,4
Awaken church Midlothian ,2023-07-01 00:00:00.000 Z,Midlothian,TX,76065,2
Edgecommunity,2022-09-01 00:00:00.000 Z,Suisun City,CA,94585,11
FBC Mon City,2024-06-01 00:00:00.000 Z,Monongahela,PA,15063,1
Life Church,2025-02-01 00:00:00.000 Z,Potosi,MO,63664,108
Church On The Hill,2025-02-01 00:00:00.000 Z,Dalton,GA,30721,1971
David Allison,2025-01-01 00:00:00.000 Z,Mt Pleasant,WI,53403,17
Hope City Church,2025-01-01 00:00:00.000 Z,Meridian ,MS,,4963
Embrace Church,2025-01-01 00:00:00.000 Z,Emporia,KS,66801,1454
Tri-County Alliance Church- Staff Account,2025-01-01 00:00:00.000 Z,Clearwater,MN,55320,754
Ridgeland Church,2025-01-01 00:00:00.000 Z,Oak Lawn,IL,60453,2452
Church On The Hill,2025-01-01 00:00:00.000 Z,Dalton,GA,30721,17229
Living Word Church of Corpus Christi,2024-08-01 00:00:00.000 Z,Corpus Christi,TX,78415,2538
