crop,indemnities,policies,parent
Stonefruit,9160740,2476,Origin
Cultivated Wild Rice,8912224,1192,Origin
Avocado Trees,8592769,4218,Origin
Fresh Plum,8142443,2529,Origin
ciin_0080,7712421,349,Origin
Rye,7503828,18809,Origin
All Other Citrus Trees,7465213,13360,Origin
Minneola Tangelos,7446074,2750,Origin
Pumpkins,7322123,2151,Origin
Cucumbers,7068142,1238,Origin
Rio Red & Star Ruby,6515811,6196,Origin
GRP Corn,6234165,10251,Origin
Lime Trees,5903500,427,Origin
Tangors,4397852,1012,Origin
Figs,4244889,1056,Origin
Clary Sage,3965612,429,Origin
Sweet Potatoes,3321667,279,Origin
Citrus,3235473,14043,Origin
Tangelos,2725186,1961,Origin
Coffee,2660577,736,Origin
Grass Seed,1840849,1174,Origin
Buckwheat,1832682,3608,Origin
Processing Freestone,1818957,1935,Origin
GRP Soybeans,1426108,6311,Origin
Chile Peppers,1355237,926,Origin
Early & Midseason Oranges,1184741,4514,Origin
Winter Squash,1085014,1090,Origin
Lemons,1065169,69,Origin
Income Protection Wheat,715378,476,Origin
ciin_0093,681510,75,Origin
Citrus Trees IV,582946,5914,Origin
Macadamia Trees,541478,740,Origin
ciin_0158,472450,1375,Origin
Lemon Trees,409745,19,Origin
Ruby Red Grapefruit,396723,1939,Origin
Sweet Oranges,382950,747,Origin
Papaya,362866,72,Origin
Income Protection Cotton,298362,83,Origin
Late Oranges,286613,1123,Origin
GRP Forage Production,228770,7381,Origin
Maryland Tobacco,227057,419,Origin
Mango Trees,225101,677,Origin
Papaya Tree,220210,90,Origin
Crambe,211147,2177,Origin
Citrus III,174767,1284,Origin
Income Protection Corn,155230,1059,Origin
Orlando Tangelos,112812,116,Origin
Citrus VIII,107133,1629,Origin
Carambola Trees,91165,310,Origin
Citrus Trees I,66811,4650,Origin
Grp Wheat,65194,118,Origin
Raspberry And Blackberry,63391,148,Origin
Cigar Filler Tobacco,45870,439,Origin
Citrus Trees II,21246,1073,Origin
Citrus Trees,12371,2106,Origin
GRP Peanuts,8499,10,Origin
All Other Grapefruit,4528,64,Origin
Banana,2452,32,Origin
Citrus Trees V,361,1957,Origin
Citrus Trees III,161,110,Origin
GRP Cotton,0,4,Origin
GRP Grain Sorghum,0,10,Origin
Tangerine Trees,0,65,Origin
Kinnow Mandarins,0,13,Origin
Coffee Tree,0,273,Origin
Camelina,0,290,Origin
ciin_6000,0,7,Origin
